,2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,Name,ORB,PF,PTS,STL,TOV,TRB,eFG%
351,0.6,.250,2.4,,,,1.4,0.0,0.4,0.6,.250,2.4,0.0,,0.0,5,,NBA,8.0,Dennis Boyd,0.0,1.0,1.2,0.0,1.2,0.4,.250
352,3.6,.414,8.6,,,,3.0,0.1,1.1,3.6,.414,8.6,1.4,.667,2.1,327,,NBA,23.6,Freddie Boyd,0.2,2.0,8.5,0.8,1.0,1.6,.414
353,1.2,.538,2.2,,,,0.3,0.0,0.3,1.2,.538,2.2,0.8,.455,1.8,6,,NBA,4.2,Ken Boyd,0.5,0.3,3.2,0.5,,0.8,.538
354,2.6,.437,5.9,0.6,.348,1.7,3.2,0.1,0.9,3.2,.417,7.6,1.9,.876,2.2,652,34,NBA,19.9,Earl Boykins,0.4,1.0,8.9,0.6,1.2,1.3,.455
355,3.8,.400,9.5,,,,1.9,,,3.8,.400,9.5,2.5,.765,3.3,109,,NBA,,Harry Boykoff,,3.9,10.1,,,4.6,.400
356,3.4,.436,7.7,0.0,.000,0.0,1.2,0.2,1.3,3.4,.435,7.8,1.6,.783,2.0,177,,NBA,17.1,Winford Boynes,0.8,1.9,8.4,0.7,1.6,2.1,.435
357,0.4,.346,1.1,0.1,.154,0.6,0.4,0.1,0.9,0.5,.282,1.7,0.1,.333,0.3,23,5,NBA,8.7,Cedric Bozeman,0.1,1.4,1.1,0.2,0.4,1.0,.308
358,2.6,.466,5.6,,,,2.2,0.1,1.3,2.6,.466,5.6,0.9,.684,1.3,187,,NBA,15.3,Steve Bracey,0.3,1.7,6.1,0.6,,1.6,.466
359,0.6,.286,2.1,0.2,.214,0.8,0.5,0.1,0.7,0.8,.265,2.9,0.1,.500,0.1,17,1,NBA,7.1,Craig Brackins,0.4,0.5,1.8,0.1,0.2,1.1,.296
360,4.4,.478,9.1,0.0,.056,0.1,0.9,,4.3,4.4,.475,9.2,3.5,.798,4.4,254,,TOT,20.5,Gary Bradds,2.0,2.5,12.2,,1.9,5.5,.475
361,1.4,.529,2.6,0.0,.000,0.0,0.3,0.1,0.9,1.4,.524,2.6,0.7,.604,1.2,39,0,NBA,8.5,Alex Bradley,0.8,0.9,3.5,0.3,0.7,1.7,.524
362,1.8,.417,4.4,0.0,1.000,0.0,0.7,0.1,1.1,1.9,.418,4.4,0.7,.703,1.0,99,,NBA,11.5,Alonzo Bradley,0.4,1.3,4.4,0.2,0.8,1.5,.419
