,2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,Name,ORB,PF,PTS,STL,TOV,TRB,eFG%,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
1369,1.4,.421,3.4,0.7,.343,2.0,0.9,0.4,2.3,2.1,.392,5.3,0.8,.721,1.0,630,108,NBA,18.5,Devean George,0.9,2.0,5.6,0.7,0.7,3.1,.456,.371,7.0,1.4,-1.2,0.2,13.9,13.6,.195,-1.4,5.3,4.6,10.6,1.9,10.9,9.6,.485,15.8,2.5,18.2,.075
1370,3.8,.364,10.3,,,,4.3,,,3.8,.364,10.3,2.7,.704,3.8,506,,NBA,31.3,Jack George,,2.5,10.2,,,4.2,.364,,,,,,,12.6,.367,,,5.0,12.2,,,,.424,,,17.7,.054
1371,1.7,.421,4.0,0.0,.071,0.1,1.8,0.1,0.6,1.7,.414,4.1,0.8,.820,1.0,177,14,NBA,11.4,Tate George,0.4,1.0,4.2,0.4,0.9,1.0,.415,.020,22.7,0.3,-5.5,-2.2,6.2,1.4,.240,-3.3,3.3,0.0,10.7,1.8,16.5,4.7,.464,19.1,-1.8,1.3,.032
1372,3.4,.439,7.8,0.0,.273,0.1,1.3,0.7,2.5,3.5,.438,7.9,1.5,.696,2.2,446,,TOT,17.8,Gus Gerard,1.6,2.2,8.4,0.6,1.5,4.1,.439,.006,9.6,2.1,-1.9,-0.2,13.9,8.6,.277,-1.6,9.1,2.5,13.8,1.6,13.9,11.6,.477,22.1,0.3,11.1,.067
1373,3.2,.446,7.3,0.1,.226,0.4,0.5,0.3,1.4,3.3,.435,7.7,2.0,.764,2.6,77,4,NBA,14.1,Derrick Gervin,0.9,1.8,8.8,0.5,0.7,2.3,.441,.052,5.9,1.4,-4.6,-3.0,10.8,1.0,.343,-1.6,6.4,1.1,16.3,1.7,7.7,8.5,.497,27.4,-0.7,2.1,.095
1374,9.7,.509,19.0,0.1,.271,0.6,2.6,1.0,3.6,9.8,.504,19.4,5.4,.841,6.4,1060,377,TOT,33.6,George Gervin,1.7,3.1,25.1,1.2,3.0,5.3,.507,.022,12.2,1.6,1.7,-1.4,10.9,28.6,.331,3.1,5.5,87.7,21.4,1.7,11.7,8.2,.564,29.6,32.2,116.3,.157
1375,0.0,.000,0.5,,,,0.0,,,0.0,.000,0.5,0.3,1.000,0.3,16,,BAA,,Gorham Getchell,,0.3,0.3,,,,.000,,,,,,,0.0,.625,,,-0.1,,,,,.245,,,-0.1,
1376,3.3,.470,7.1,0.0,,0.0,1.5,1.0,4.2,3.3,.470,7.1,1.1,.702,1.6,541,,NBA,25.2,John Gianelli,2.0,2.3,7.8,0.5,1.5,5.9,.470,.000,7.9,1.9,-0.8,0.9,16.7,13.1,.229,-1.7,7.7,9.9,11.7,0.8,17.2,12.2,.500,13.3,4.0,23.0,.081
1377,2.0,.402,5.0,,,,0.8,0.2,1.1,2.0,.402,5.0,1.2,.799,1.5,333,,NBA,12.9,Dick Gibbs,0.8,1.9,5.2,0.3,,1.9,.402,,8.0,0.6,-4.8,-2.3,8.3,2.9,.290,-2.5,5.5,-0.3,9.8,1.0,,7.1,.459,,-2.0,2.6,.029
1378,1.2,.397,3.1,1.5,.407,3.6,2.0,0.2,1.6,2.7,.402,6.7,1.0,.780,1.3,397,77,NBA,23.5,Daniel Gibson,0.4,2.0,7.8,0.6,0.9,2.0,.512,.536,13.3,0.7,-1.0,-1.1,8.2,6.9,.197,0.1,1.8,9.0,10.8,1.4,11.5,4.9,.542,15.9,2.3,16.0,.082
1379,1.8,.314,5.6,,,,2.9,,,1.8,.314,5.6,2.9,.718,4.0,44,,NBA,,Dee Gibson,,2.6,6.4,,,,.314,,,,,,,1.0,.722,,,1.7,,,,,.435,,,2.7,
1380,2.1,.344,6.1,,,,1.2,,,2.1,.344,6.1,1.3,.656,2.0,32,,NBA,,Hoot Gibson,,3.3,5.5,,,,.344,,,,,,,-0.2,.328,,,0.2,,,,,.394,,,0.0,
1381,0.7,.300,2.2,,,,0.7,,,0.7,.300,2.2,0.1,.500,0.2,9,,NBA,5.9,Mel Gibson,,1.1,1.4,,,0.4,.300,,,,,,,0.0,.100,,,-0.2,2.5,,,,.311,,,-0.1,-0.119
1382,0.6,.387,1.7,0.0,,0.0,0.2,0.2,1.0,0.6,.387,1.7,0.3,.679,0.4,64,0,NBA,6.1,Mike Gibson,0.7,1.0,1.6,0.2,0.3,1.7,.387,.000,4.6,1.6,-4.0,0.3,18.0,0.5,.264,-4.3,12.7,-0.2,8.6,1.6,14.5,15.3,.427,14.6,-0.2,0.3,.042
1383,0.8,.566,1.4,0.0,.000,0.3,0.3,0.1,0.9,0.8,.476,1.7,0.3,.565,0.6,38,1,NBA,6.5,J.R. Giddens,0.5,0.8,1.9,0.3,0.5,1.4,.476,.159,7.9,0.6,-4.6,-0.3,17.1,0.3,.365,-4.3,8.5,-0.1,9.7,2.1,19.8,12.8,.499,16.9,-0.2,0.1,.027
1384,0.5,1.000,0.5,0.0,,0.0,0.0,0.0,0.5,0.5,1.000,0.5,0.0,,0.0,2,0,NBA,2.5,Trey Gilder,0.0,0.0,1.0,0.5,0.0,0.5,1.000,.000,0.0,0.0,7.6,3.8,23.4,0.0,.000,3.8,0.0,0.0,30.9,10.3,0.0,11.7,1.000,8.8,0.0,0.0,.336
1385,0.6,.388,1.6,0.3,.320,1.1,1.2,0.1,1.0,1.0,.361,2.7,0.8,.847,0.9,187,9,NBA,10.9,Eddie Gill,0.1,1.1,3.1,0.6,0.7,1.1,.424,.397,17.5,0.5,-2.8,-0.2,10.2,2.2,.357,-2.6,1.6,-0.3,9.9,2.8,19.5,6.0,.497,16.4,-0.4,1.9,.046
1386,4.9,.448,11.0,0.3,.300,1.1,3.0,0.4,2.8,5.2,.434,12.1,2.5,.754,3.4,966,791,NBA,30.5,Kendall Gill,1.3,2.6,13.4,1.6,1.8,4.1,.448,.090,16.0,1.0,0.3,0.4,10.7,28.2,.280,-0.1,4.8,19.6,14.7,2.6,11.7,7.7,.493,21.8,16.9,47.8,.078
1387,0.3,.316,0.8,0.0,,0.0,0.1,0.2,0.7,0.3,.316,0.8,0.5,.565,1.0,24,0,NBA,3.5,Ben Gillery,0.3,1.2,1.0,0.1,0.2,1.0,.316,.000,3.1,2.8,-7.9,-0.9,20.8,0.1,1.211,-7.0,8.8,-0.1,5.0,1.1,14.7,14.7,.429,16.7,-0.1,0.0,.014
1388,0.0,.000,2.5,0.0,,0.0,0.0,,2.5,0.0,.000,2.5,1.0,1.000,1.0,2,,ABA,13.5,Jack Gillespie,1.0,1.5,1.0,,0.0,3.5,.000,.000,0.0,,,,,0.0,.400,,,-0.1,0.8,,0.0,12.4,.170,8.2,,-0.1,-0.129
1389,0.1,.091,0.8,,,,0.1,,,0.1,.091,0.8,0.4,.667,0.6,14,,BAA,,Gene Gillette,,0.9,0.6,,,,.091,,,,,,,0.2,.818,,,0.0,,,,,.267,,,0.2,
1390,5.2,.490,10.6,0.0,.000,0.0,1.2,0.7,4.6,5.2,.489,10.7,3.3,.776,4.2,929,527,NBA,28.4,Armen Gilliam,2.3,2.2,13.7,0.7,1.9,6.9,.489,.002,6.8,1.5,-1.1,-0.4,18.4,27.1,.394,-0.7,9.0,31.0,16.4,1.3,12.9,13.7,.547,21.8,6.2,58.1,.106
1391,4.7,.441,10.6,,,,3.8,0.2,2.2,4.7,.441,10.6,1.5,.792,1.9,578,,NBA,26.0,Herm Gilliam,0.9,2.6,10.8,1.3,,3.8,.441,,20.5,0.4,-0.7,-0.4,9.8,12.5,.177,-0.3,3.8,8.3,13.8,2.4,,6.9,.474,,2.2,20.8,.066
1392,7.1,.582,12.1,0.0,.150,0.0,2.3,2.4,8.7,7.1,.582,12.2,4.6,.698,6.6,1329,476,TOT,35.5,Artis Gilmore,3.6,3.4,18.8,0.6,3.1,12.3,.582,.001,9.4,3.7,3.9,1.7,24.9,75.5,.544,2.2,10.8,114.1,21.4,0.8,17.4,18.0,.623,20.3,59.3,189.7,.193
1393,0.9,.426,2.0,,,,0.4,,,0.9,.426,2.0,0.4,.462,1.0,27,,NBA,9.7,Walt Gilmore,,1.8,2.1,,,2.7,.426,,5.4,,,,,0.2,.481,,,-0.1,6.4,,,12.2,.443,,,0.2,.033
1394,2.1,.325,6.6,,,,1.5,,,2.1,.325,6.6,1.5,.609,2.5,239,,TOT,,Chuck Gilmur,,3.7,5.8,,,4.7,.325,,,,,,,8.4,.387,,,6.6,,,,,.379,,,15.1,
1395,3.0,.465,6.4,0.8,.368,2.0,1.5,0.1,2.0,3.7,.442,8.4,1.4,.823,1.7,384,191,NBA,23.0,Gordan Giricek,0.4,2.0,9.6,0.6,1.3,2.5,.486,.244,11.6,0.4,-3.1,-2.2,10.5,3.3,.201,-0.9,2.2,4.7,11.8,1.3,12.8,6.3,.523,20.7,-2.5,8.0,.044
1396,2.7,.402,6.6,0.0,.000,0.0,0.9,0.2,1.6,2.7,.401,6.6,1.3,.791,1.7,156,,NBA,16.7,Jack Givens,1.4,1.6,6.7,0.8,0.9,2.9,.401,.002,7.8,0.8,-1.5,-0.1,10.3,3.0,.254,-1.4,8.6,1.2,12.3,2.2,10.4,9.4,.451,19.9,0.3,4.3,.079
1397,2.7,.248,11.0,,,,1.7,,,2.7,.248,11.0,3.8,.764,5.0,11,,BAA,,George Glamack,,2.5,9.3,,,,.248,,,,,,,0.3,.455,,,-0.1,,,,,.351,,,0.2,
1398,3.3,.448,7.3,0.1,.236,0.5,1.5,0.3,1.4,3.4,.433,7.9,0.8,.643,1.2,201,49,NBA,16.7,Gerald Glass,1.1,1.8,7.7,0.6,0.9,2.5,.442,.069,14.1,1.1,-2.5,-1.4,9.9,2.0,.152,-1.1,7.3,-0.2,13.3,2.0,9.6,8.5,.460,23.9,-0.4,1.8,.025
1399,3.3,.544,6.0,0.0,.286,0.1,1.6,0.1,0.9,3.3,.542,6.1,1.0,.855,1.1,593,10,NBA,16.2,Mike Glenn,0.3,1.5,7.6,0.5,0.7,1.2,.543,.008,15.0,0.3,-1.5,-1.9,6.4,6.7,.185,0.4,1.7,18.7,15.1,1.6,9.9,4.1,.576,18.4,1.2,25.3,.126
1400,1.0,1.000,1.0,,,,0.0,,,1.0,1.000,1.0,0.0,,0.0,1,,NBA,,Normie Glick,,1.0,2.0,,,,1.000,,,,,,,0.0,.000,,,0.0,,,,,1.000,,,0.1,
1401,1.7,.399,4.2,0.0,1.000,0.0,0.7,0.5,2.7,1.7,.402,4.3,1.4,.574,2.5,49,16,NBA,15.8,Georgi Glouchkov,0.6,2.5,4.9,0.5,1.6,3.3,.404,.005,5.3,1.8,-6.6,0.4,18.9,0.9,.584,-7.0,4.8,-1.4,5.7,1.5,22.4,12.1,.455,17.5,-0.9,-0.5,-0.029
1402,1.0,.455,2.2,,,,0.2,,,1.0,.455,2.2,0.6,.469,1.3,25,,NBA,4.8,Clarence Glover,,1.0,2.6,,,1.8,.455,,4.4,,,,,0.2,.582,,,0.0,14.0,,,17.7,.470,,,0.3,.103
1403,2.6,.436,6.0,0.5,.317,1.6,1.5,0.2,2.3,3.1,.411,7.6,1.5,.756,1.9,294,105,NBA,20.9,Dion Glover,0.7,1.7,8.2,0.8,1.3,3.1,.445,.210,13.0,0.8,-2.4,-1.1,12.5,4.3,.257,-1.4,4.0,1.5,12.8,2.0,13.0,8.3,.487,21.1,-0.7,5.8,.045
1404,0.6,.471,1.3,0.0,,0.0,0.1,0.0,0.5,0.6,.471,1.3,0.1,.500,0.2,13,4,NBA,6.2,Andreas Glyniadakis,0.2,1.5,1.3,0.0,0.7,0.6,.471,.000,1.8,0.0,-12.1,-3.2,9.0,0.0,.118,-8.9,2.9,-0.2,-3.3,0.0,33.5,5.9,.475,15.1,-0.2,-0.2,-0.143
1405,4.5,.467,9.6,0.0,.122,0.1,1.3,1.1,4.7,4.5,.465,9.6,2.7,.843,3.2,938,547,NBA,25.6,Mike Gminski,2.2,1.7,11.7,0.5,1.5,6.9,.465,.005,7.2,2.4,-0.6,0.3,20.8,26.9,.332,-0.9,9.7,29.0,16.3,1.0,11.7,15.2,.528,20.0,8.7,55.9,.111
1406,0.5,.455,1.0,0.0,.000,0.1,0.0,0.4,0.2,0.5,.417,1.1,0.3,.750,0.4,11,0,NBA,2.0,Dan Godfread,0.0,0.5,1.2,0.1,0.0,0.2,.417,.083,0.0,11.5,-5.4,-0.5,11.3,0.0,.333,-4.9,0.0,0.0,18.5,2.4,0.0,5.3,.472,26.9,0.0,0.1,.129
1407,4.2,.431,9.9,,,,4.2,,,4.2,.431,9.9,2.8,.760,3.7,698,,NBA,32.3,Tom Gola,,3.9,11.3,,,8.0,.431,,18.7,,,,,24.1,.371,,,29.1,14.1,,,,.491,,,53.2,.113
1408,0.0,.000,1.0,,,,0.0,,,0.0,.000,1.0,1.0,.500,2.0,2,,BAA,,Ben Goldfaden,,1.5,1.0,,,,.000,,,,,,,0.0,2.000,,,0.0,,,,,.266,,,0.0,
1409,1.4,.419,3.4,0.8,.386,2.0,2.8,0.0,1.1,2.2,.407,5.4,1.1,.792,1.4,266,72,NBA,18.6,Anthony Goldwire,0.3,1.5,6.3,0.6,1.0,1.3,.479,.374,24.6,0.1,-3.3,-3.3,6.9,0.5,.267,0.0,1.7,6.0,12.7,1.8,14.2,4.3,.523,17.1,-1.6,6.4,.062
1410,2.2,.475,4.7,0.0,.143,0.0,1.4,0.3,2.8,2.3,.473,4.8,1.3,.724,1.9,435,2,NBA,17.3,Glen Gondrezick,1.7,2.5,5.8,1.1,1.0,4.5,.474,.007,9.7,0.8,1.1,1.1,17.1,7.7,.390,0.0,10.1,8.2,13.7,2.9,15.7,13.6,.525,14.5,5.9,15.9,.101
1411,1.8,.452,4.0,0.1,.250,0.3,1.3,0.1,0.9,1.9,.438,4.3,1.1,.687,1.6,91,1,NBA,11.9,Grant Gondrezick,0.7,1.4,5.0,0.4,0.8,1.6,.447,.071,14.5,0.3,-3.8,-1.9,8.5,0.6,.372,-1.9,6.5,0.2,11.1,1.6,13.7,7.5,.494,19.9,-0.5,0.8,.036
1412,7.2,.456,15.8,,,,4.7,0.2,1.6,7.2,.456,15.8,4.2,.807,5.2,1031,,NBA,32.5,Gail Goodrich,1.1,2.7,18.6,1.3,2.5,3.2,.456,,20.6,0.3,-0.4,-2.3,4.4,20.7,.328,1.9,3.2,55.6,16.7,1.8,15.4,4.0,.514,20.5,5.6,76.3,.109
1413,0.4,.320,1.2,0.0,.333,0.1,0.5,0.1,0.9,0.4,.321,1.3,0.2,.556,0.4,21,0,NBA,8.7,Steve Goodrich,0.4,1.1,1.1,0.1,0.5,1.2,.339,.107,8.9,1.2,-7.8,-0.9,11.9,0.1,.321,-7.0,5.0,-0.3,2.7,0.9,25.6,8.3,.375,10.8,-0.3,-0.2,-0.049
1414,1.7,.266,6.4,,,,0.3,,,1.7,.266,6.4,1.0,.775,1.3,79,,BAA,,Pop Goodwin,,1.6,4.4,,,,.266,,,,,,,-0.1,.203,,,0.5,,,,,.317,,,0.4,
1415,3.7,.447,8.3,1.6,.401,3.9,2.5,0.2,2.0,5.3,.432,12.2,2.8,.857,3.2,744,269,NBA,27.4,Ben Gordon,0.4,2.3,14.9,0.7,2.1,2.5,.497,.321,16.5,0.4,-1.1,-2.2,8.7,14.1,.263,1.1,1.9,19.2,14.9,1.3,13.3,5.2,.546,25.9,4.7,33.3,.078
1416,2.2,.400,5.6,0.1,.271,0.4,1.5,0.2,0.7,2.3,.391,6.0,0.8,.767,1.0,201,6,NBA,12.8,Lancaster Gordon,0.6,1.3,5.6,0.6,1.2,1.3,.400,.070,16.9,0.7,-5.8,-1.9,6.3,1.2,.171,-3.9,4.8,-3.9,9.4,2.3,15.4,5.5,.433,23.9,-2.5,-2.7,-0.050
1417,0.0,.000,1.5,,,,0.8,,,0.0,.000,1.5,0.8,.600,1.3,4,,NBA,,Paul Gordon,,0.8,0.8,,,,.000,,,,,,,0.0,.833,,,-0.1,,,,,.183,,,-0.1,
1418,2.5,.288,8.6,,,,0.4,,,2.5,.288,8.6,0.6,.645,0.9,84,,BAA,,Leo Gottlieb,,1.3,5.5,,,,.288,,,,,,,1.7,.105,,,0.2,,,,,.308,,,1.8,
1419,3.1,.406,7.7,0.0,.208,0.0,3.2,0.5,8.2,3.1,.405,7.8,1.4,.678,2.1,681,,ABA,33.7,Gerald Govan,2.6,3.0,7.7,0.7,2.4,10.5,.406,.005,12.1,0.9,-0.7,2.0,21.4,35.8,.268,-2.6,6.3,-8.8,10.2,1.1,21.5,14.4,.444,12.6,2.1,27.0,.057
1420,1.1,.316,3.4,,,,1.0,,,1.1,.316,3.4,1.1,.676,1.6,23,,NBA,11.2,Bato Govedarica,,1.9,3.3,,,0.8,.316,,,,,,,0.3,.468,,,-0.1,7.1,,,,.394,,,0.2,.044
1421,4.1,.352,11.6,,,,1.8,,,4.1,.352,11.6,2.9,.700,4.1,845,,TOT,30.5,Joe Graboski,,3.1,11.0,,,8.1,.352,,,,,,,27.4,.353,,,-1.9,13.8,,,,.411,,,25.5,.051
1422,0.7,.667,1.0,0.0,,0.0,0.3,0.0,0.3,0.7,.667,1.0,0.0,.000,0.7,3,0,NBA,2.7,Ricky Grace,0.0,1.0,1.3,0.0,0.0,0.3,.667,.000,21.9,0.0,-4.4,-3.7,13.8,0.0,.667,-0.7,0.0,0.0,10.8,0.0,0.0,6.9,.515,20.8,0.0,0.0,.103
1423,0.5,.286,1.8,0.0,,0.0,0.0,,,0.5,.286,1.8,0.6,.625,1.0,8,,ABA,6.5,Calvin Graham,,1.5,1.6,,0.1,1.3,.286,.000,0.0,,,,,0.0,.571,,,-0.1,2.2,,5.4,8.1,.371,13.3,,0.0,-0.036
1424,1.4,.438,3.1,0.2,.290,0.8,1.0,0.1,0.8,1.6,.407,3.9,1.1,.775,1.4,207,18,NBA,12.2,Greg Graham,0.3,1.0,4.5,0.6,0.9,1.1,.437,.208,12.8,0.3,-4.4,-1.5,7.2,1.8,.360,-2.9,2.6,-0.5,10.6,2.6,16.0,4.9,.498,19.6,-1.6,1.3,.025
1425,2.1,.503,4.2,0.1,.300,0.5,0.5,0.1,2.1,2.3,.483,4.7,1.2,.815,1.5,377,84,NBA,16.2,Joey Graham,0.7,2.1,5.9,0.4,0.8,2.8,.498,.101,5.4,0.5,-3.8,-1.4,15.4,3.7,.325,-2.4,5.2,4.1,11.0,1.1,13.2,10.2,.551,17.6,-2.8,7.8,.061
1426,1.9,.398,4.7,,,,1.1,,,1.9,.398,4.7,1.0,.657,1.5,70,,NBA,12.7,Mal Graham,,2.1,4.7,,,1.7,.398,,10.8,,,,,1.2,.312,,,-0.4,8.3,,,,.440,,,0.8,.043
1427,0.4,.300,1.4,0.0,,0.0,0.0,0.0,0.4,0.4,.300,1.4,0.3,.500,0.6,7,0,NBA,3.1,Orlando Graham,1.1,0.9,1.1,0.0,0.3,1.6,.300,.000,0.0,0.0,-16.4,-10.5,13.6,0.0,.400,-5.9,36.5,0.0,6.7,0.0,14.5,25.0,.340,23.7,-0.1,0.0,-0.047
1428,2.7,.480,5.6,0.6,.339,1.6,2.0,0.2,1.7,3.3,.448,7.3,1.3,.739,1.8,179,20,NBA,18.7,Paul Graham,0.8,2.2,8.4,1.0,1.2,2.4,.487,.227,15.2,0.6,-0.4,-0.4,9.9,3.1,.245,0.0,4.3,2.7,13.7,2.7,13.1,7.0,.521,20.4,1.4,5.7,.082
1429,1.4,.481,2.8,0.2,.308,0.7,0.5,0.1,1.5,1.6,.446,3.5,0.7,.766,0.9,239,43,NBA,12.2,Stephen Graham,0.3,1.5,4.0,0.2,0.6,1.8,.477,.203,6.5,0.5,-5.3,-1.3,14.0,2.4,.242,-4.0,3.1,-0.7,8.2,1.0,14.2,8.5,.515,17.0,-2.4,1.7,.028
1430,0.8,.512,1.6,0.3,.529,0.7,0.3,0.3,1.2,1.2,.517,2.2,0.4,.476,0.8,26,0,NBA,6.5,Jim Grandholm,0.8,1.3,3.0,0.1,0.4,1.9,.595,.293,7.4,3.0,-0.9,-1.5,20.3,0.2,.362,0.7,13.6,0.3,16.5,0.6,14.1,17.0,.587,20.6,0.0,0.4,.123
1431,0.8,.435,1.8,0.0,.167,0.2,0.6,0.1,0.9,0.8,.404,2.0,0.8,.713,1.1,105,3,NBA,8.3,Ron Grandison,0.7,1.0,2.4,0.3,0.5,1.6,.413,.115,8.9,0.4,-2.4,-0.3,11.7,0.8,.553,-2.1,9.8,0.3,9.8,1.8,16.5,10.8,.491,15.2,-0.1,1.2,.064
1432,4.0,.463,8.6,1.7,.380,4.5,1.9,0.8,3.8,5.7,.434,13.1,3.7,.848,4.4,586,431,NBA,31.5,Danny Granger,1.2,2.8,16.8,1.0,1.9,4.9,.500,.345,10.3,1.9,1.5,-0.2,13.4,20.9,.336,1.6,4.1,27.5,16.9,1.5,11.1,8.7,.560,23.8,16.1,48.5,.126
1433,1.5,.425,3.5,0.1,.235,0.2,2.2,0.0,0.8,1.5,.414,3.7,0.8,.742,1.1,80,14,NBA,12.5,Stewart Granger,0.2,1.6,4.0,0.4,1.1,1.0,.421,.057,24.1,0.1,-6.0,-2.0,7.4,0.6,.300,-3.9,1.7,-0.7,8.4,1.6,21.3,4.4,.470,17.9,-1.0,-0.1,-0.005
1434,4.1,.491,8.3,0.0,.214,0.0,1.2,0.7,5.0,4.1,.490,8.4,2.3,.746,3.1,756,577,NBA,28.3,Brian Grant,2.4,3.2,10.5,0.6,1.6,7.4,.491,.004,7.5,2.0,-0.1,1.2,20.5,30.2,.364,-1.2,10.1,24.3,14.9,1.1,14.4,15.3,.540,18.5,10.4,54.5,.122
1435,1.0,.318,3.1,,,,0.9,,,1.0,.318,3.1,0.6,.590,1.0,96,,NBA,,Bud Grant,,1.5,2.6,,,1.9,.318,,,,,,,1.7,.334,,,-0.6,,,,,.363,,,1.1,
1436,3.2,.466,6.9,0.2,.278,0.6,5.5,0.1,1.7,3.4,.450,7.5,1.0,.776,1.3,552,231,NBA,22.8,Gary Grant,0.6,2.2,7.9,1.5,2.3,2.3,.462,.083,34.2,0.3,-1.9,-0.4,8.2,14.0,.170,-1.5,3.0,-1.9,13.4,3.2,22.2,5.6,.491,18.9,0.4,12.0,.046
1437,1.0,.405,2.5,0.1,.281,0.5,2.7,0.0,0.7,1.1,.383,3.0,0.4,.710,0.5,274,5,NBA,12.2,Greg Grant,0.2,1.0,2.8,0.6,0.8,0.9,.408,.178,31.1,0.2,-5.6,-2.3,6.1,2.2,.168,-3.3,2.2,-0.6,9.9,2.4,20.8,4.1,.435,14.2,-3.0,1.6,.023
1438,4.2,.476,8.8,0.1,.267,0.3,1.6,0.5,2.9,4.3,.469,9.1,1.3,.709,1.8,783,439,NBA,26.2,Harvey Grant,1.5,2.3,9.9,0.8,0.9,4.4,.473,.034,9.0,1.4,-0.7,0.4,12.5,20.0,.203,-1.1,6.2,16.5,12.7,1.5,8.4,9.3,.500,17.5,6.5,36.4,.085
1439,4.7,.511,9.1,0.0,.063,0.1,2.2,1.0,5.1,4.7,.509,9.2,1.8,.692,2.6,1165,1037,NBA,33.2,Horace Grant,3.0,2.4,11.2,1.0,1.1,8.1,.509,.006,9.9,2.0,2.6,1.8,17.8,49.3,.285,0.7,10.4,69.0,16.0,1.5,9.8,14.1,.540,15.2,44.4,118.2,.147
1440,0.8,.494,1.6,0.3,.279,1.2,0.5,0.2,1.2,1.1,.404,2.8,0.4,.759,0.5,53,0,NBA,7.2,Josh Grant,0.5,1.2,3.0,0.3,0.6,1.7,.462,.418,8.6,1.3,-2.8,-1.1,17.3,0.5,.199,-1.7,7.8,0.0,11.7,2.3,15.9,12.6,.494,20.4,-0.1,0.5,.060
1441,0.8,.448,1.8,0.0,,0.0,0.2,0.1,0.6,0.8,.448,1.8,0.2,.375,0.5,16,0,NBA,6.9,Paul Grant,0.5,1.3,1.8,0.1,0.6,1.1,.448,.000,4.8,0.8,-7.8,-2.2,11.4,0.1,.276,-5.6,8.6,-0.2,4.0,1.0,21.7,10.0,.446,17.3,-0.2,-0.1,-0.043
1442,5.9,.525,11.2,0.0,.333,0.0,1.0,0.3,2.9,5.9,.524,11.2,2.0,.811,2.4,201,,TOT,21.4,Travis Grant,1.7,2.0,13.8,0.6,1.6,4.1,.525,.003,7.3,0.6,-0.3,-2.0,11.1,2.3,.218,1.8,6.2,9.3,18.7,1.1,10.0,8.9,.559,23.7,1.8,11.6,.129
1443,0.5,.167,3.0,,,,1.5,,,0.5,.167,3.0,1.0,1.000,1.0,2,,NBA,,Don Grate,,1.5,2.0,,,,.167,,,,,,,0.0,.333,,,0.0,,,,,.291,,,0.0,
1444,0.5,.400,1.3,0.0,.000,0.3,0.3,0.0,0.5,0.5,.333,1.5,0.3,.200,1.3,4,0,NBA,2.8,Butch Graves,0.0,1.0,1.3,0.3,0.3,0.5,.333,.167,13.1,0.0,-10.4,-0.9,19.7,0.0,.833,-9.6,0.0,-0.1,-0.8,4.3,10.9,9.8,.305,33.6,0.0,-0.1,-0.243
1445,1.4,.511,2.7,0.0,.000,0.0,0.7,0.3,2.4,1.4,.509,2.7,0.6,.562,1.0,318,87,NBA,12.1,Aaron Gray,1.4,2.1,3.4,0.3,0.8,3.7,.509,.003,8.4,1.8,-1.8,0.9,23.1,4.8,.383,-2.8,12.9,1.4,11.5,1.3,20.8,18.0,.528,15.1,0.2,6.2,.077
1446,0.9,.365,2.3,0.0,,0.0,0.3,0.1,0.8,0.9,.365,2.3,0.8,.618,1.3,27,2,NBA,6.4,Devin Gray,0.6,1.2,2.5,0.3,0.3,1.4,.365,.000,6.4,1.1,-6.0,-1.8,14.4,0.2,.540,-4.2,11.3,0.0,11.3,2.7,10.3,12.9,.430,22.4,-0.2,0.1,.037
1447,1.7,.338,4.9,0.5,.341,1.5,0.8,0.2,1.0,2.2,.339,6.4,1.4,.814,1.7,60,6,NBA,13.5,Ed Gray,0.3,1.7,6.2,0.5,1.0,1.2,.378,.229,10.6,1.0,-6.2,-2.7,8.1,0.9,.266,-3.5,2.4,-0.7,9.6,1.8,12.1,5.3,.435,28.1,-0.9,0.1,.009
1448,0.6,.273,2.2,0.2,.250,0.8,0.4,0.0,0.4,0.8,.267,3.0,0.8,1.000,0.8,5,0,NBA,8.4,Evric Gray,0.2,1.0,2.6,0.2,0.6,0.6,.300,.267,7.2,0.0,-10.8,-4.0,5.5,0.0,.267,-6.7,2.4,-0.1,2.8,1.2,15.2,3.9,.388,20.1,-0.1,-0.1,-0.080
1449,1.1,.366,3.0,,,,0.6,,,1.1,.366,3.0,0.2,.700,0.2,44,,NBA,6.3,Gary Gray,,1.1,2.4,,,0.5,.366,,12.5,,,,,0.0,.075,,,-0.6,5.4,,,,.379,,,-0.5,-0.093
1450,4.6,.469,9.8,,,,2.2,0.4,3.8,4.6,.469,9.8,1.6,.739,2.1,224,,NBA,27.0,Leonard Gray,1.5,3.7,10.8,0.9,,5.2,.469,,11.3,0.8,-0.6,0.3,14.5,5.8,.214,-0.9,5.5,4.1,12.7,1.5,,9.9,.501,,2.2,9.9,.079
1451,0.9,.450,1.9,0.0,.000,0.0,0.4,0.3,1.8,0.9,.446,2.0,0.6,.663,0.9,386,5,NBA,9.0,Stuart Gray,0.8,1.7,2.3,0.2,0.6,2.6,.446,.009,5.6,2.3,-4.0,0.7,22.5,4.4,.458,-4.7,9.9,-1.1,8.6,0.9,21.1,16.2,.497,13.9,-1.8,3.3,.046
