,2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,Name,ORB,PF,PTS,STL,TOV,TRB,eFG%,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
204,1.4,.251,5.7,,,,1.0,,,1.4,.251,5.7,1.3,.538,2.5,32,,NBA,,Ed Bartels,,2.6,4.2,,,4.9,.251,,,,,,,0.2,.437,,,-1.2,,,,,.309,,,-1.1,
205,0.4,.254,1.6,,,,0.1,,,0.4,.254,1.6,0.1,.800,0.1,38,,NBA,4.3,Vic Bartolome,,0.6,0.9,,,1.6,.254,,2.3,,,,,0.3,.085,,,-0.7,4.4,,,16.2,.278,,,-0.4,-0.114
206,0.7,.467,1.6,0.1,.143,0.4,0.4,0.1,1.1,0.8,.405,1.9,0.4,.800,0.5,19,0,NBA,7.4,Eddie Basden,0.4,0.9,2.1,0.5,0.5,1.5,.419,.189,8.8,1.1,-1.4,2.7,17.0,0.3,.270,-4.0,5.7,-0.1,10.3,3.3,17.9,11.4,.471,16.1,0.0,0.2,.065
207,0.4,.308,1.2,,,,0.1,0.2,0.7,0.4,.308,1.2,0.5,.625,0.8,21,,NBA,5.0,Jerry Baskerville,0.6,1.5,1.2,0.3,,1.3,.308,,3.6,2.4,-4.7,0.2,13.8,0.2,.615,-4.9,12.0,-0.2,8.0,2.6,,12.9,.393,,-0.1,0.0,-0.019
208,2.6,.424,6.1,0.0,.286,0.1,1.2,0.5,4.2,2.6,.423,6.1,1.0,.588,1.8,473,,TOT,23.7,Tim Bassett,2.4,2.7,6.2,0.8,1.2,6.7,.424,.005,6.5,1.1,-1.6,1.1,18.0,12.4,.288,-2.7,9.7,0.5,10.2,1.4,16.3,13.7,.451,12.4,1.2,12.9,.055
209,1.0,.628,1.6,0.0,.375,0.1,0.2,0.4,1.1,1.0,.616,1.6,0.7,.740,0.9,105,4,NBA,7.9,Maceo Baston,0.5,1.3,2.7,0.2,0.5,1.7,.625,.047,5.0,3.9,-1.3,0.8,16.7,1.1,.558,-2.1,7.6,1.2,14.4,1.5,20.1,12.0,.667,14.5,0.1,2.3,.134
210,1.2,.397,3.1,0.1,.333,0.3,0.6,0.1,1.6,1.3,.391,3.4,0.6,.744,0.8,46,10,NBA,10.7,Mengke Bateer,0.8,2.6,3.4,0.2,0.9,2.5,.407,.096,9.0,0.7,-5.9,-1.1,18.0,0.4,.250,-4.8,8.7,-0.5,6.4,1.2,18.8,13.2,.450,19.5,-0.5,-0.1,-0.010
211,4.6,.485,9.4,0.2,.303,0.6,1.9,0.1,0.9,4.8,.474,10.1,2.0,.796,2.5,187,3,NBA,17.8,Billy Ray Bates,0.8,1.4,11.7,0.8,1.5,1.7,.483,.063,16.4,0.3,-1.8,-2.9,5.5,2.5,.250,1.1,4.9,4.4,18.1,2.1,11.6,5.2,.525,28.7,0.2,6.9,.099
212,0.6,.442,1.4,0.0,.000,0.0,0.2,0.2,1.5,0.6,.438,1.4,0.5,.617,0.9,70,3,NBA,8.2,Esteban Batista,1.0,1.8,1.7,0.3,0.6,2.5,.438,.010,2.9,1.5,-6.3,-1.5,22.7,0.5,.625,-4.8,13.8,-0.2,7.9,1.7,25.5,18.2,.494,13.0,-0.6,0.3,.024
213,2.4,.464,5.1,0.2,.222,1.1,0.7,0.2,2.3,2.6,.422,6.2,0.9,.784,1.2,75,2,NBA,16.6,Mike Batiste,1.1,1.6,6.4,0.6,0.9,3.4,.441,.173,6.9,0.9,-3.9,-1.7,15.6,0.7,.188,-2.2,7.5,0.0,12.2,1.7,12.0,11.6,.476,20.7,-0.6,0.8,.029
214,2.5,.494,5.2,0.0,.162,0.1,0.6,0.9,3.5,2.6,.488,5.2,0.9,.690,1.4,837,429,NBA,21.1,Tony Battie,1.6,2.6,6.1,0.5,0.8,5.1,.490,.017,4.9,3.0,-1.6,1.0,19.1,21.8,.259,-2.6,8.9,14.6,12.6,1.2,12.6,14.0,.520,14.4,1.9,36.4,.099
215,1.8,.486,3.6,1.3,.384,3.3,1.8,0.9,2.9,3.1,.437,7.0,1.2,.743,1.6,977,705,NBA,30.7,Shane Battier,1.3,2.3,8.6,1.0,0.9,4.2,.529,.477,8.8,2.3,2.9,1.9,10.8,35.3,.236,1.0,5.0,40.4,12.6,1.7,10.4,7.9,.559,12.9,37.0,75.7,.121
216,3.3,.474,6.9,0.1,.273,0.4,2.1,0.1,1.1,3.4,.464,7.2,1.9,.793,2.4,612,62,NBA,17.8,John Battle,0.3,1.4,8.7,0.4,1.1,1.3,.471,.051,17.4,0.2,-3.2,-2.6,6.6,5.6,.332,-0.6,1.8,12.3,13.7,1.2,11.5,4.2,.526,22.2,-3.3,17.9,.079
217,1.8,.529,3.4,0.0,.133,0.2,0.8,0.2,1.4,1.8,.504,3.6,1.0,.725,1.4,134,17,NBA,13.4,Kenny Battle,1.0,1.6,4.7,0.7,0.7,2.4,.508,.062,7.4,1.0,-0.1,0.6,11.0,1.7,.392,-0.7,7.9,2.0,12.5,2.5,13.9,9.5,.555,14.2,0.9,3.7,.098
218,1.6,.455,3.4,0.0,.000,0.1,0.6,0.3,1.3,1.6,.448,3.5,0.1,.471,0.3,58,5,NBA,10.2,Dave Batton,0.8,1.1,3.2,0.3,0.6,2.1,.448,.015,7.8,1.5,-3.0,0.8,14.6,0.9,.085,-3.8,8.6,-0.2,10.2,1.2,13.3,11.5,.451,16.9,-0.2,0.7,.055
219,3.6,.388,9.2,0.7,.286,2.5,1.8,0.1,2.2,4.3,.366,11.7,1.0,.617,1.6,58,,ABA,22.7,Lloyd Batts,1.2,1.8,10.3,1.3,1.5,3.4,.397,.216,12.7,0.3,-2.8,-1.2,10.2,1.0,.138,-1.6,5.5,-1.4,11.3,2.6,11.0,7.8,.414,24.8,-0.3,-0.5,-0.017
220,2.6,.481,5.4,0.0,.000,0.0,0.6,0.3,1.8,2.6,.480,5.4,1.0,.758,1.3,244,,TOT,13.9,Johnny Baum,1.2,1.4,6.1,0.6,0.8,2.7,.480,.002,6.1,0.7,-2.5,-1.1,11.4,1.5,.239,-1.4,7.6,4.2,13.8,1.4,11.6,9.8,.516,18.1,-0.1,5.7,.081
221,5.7,.298,19.0,,,,1.2,,,5.7,.298,19.0,2.7,.776,3.5,45,,BAA,,Frankie Baumholtz,,2.1,14.0,,,,.298,,,,,,,0.7,.182,,,3.1,,,,,.341,,,3.8,
