,Unnamed: 0_x,2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,Name,ORB,PF_x,PTS,STL,TOV,TRB,eFG%,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,Unnamed: 0_y,Position,C,PF_y,PG,SF,SG,nan
282,278,1.0,0.414,2.3,,,,0.4,0.0,0.8,1.0,0.414,2.3,0.6,0.732,0.8,94,,NBA,8.1,Bob Bigelow,0.4,0.8,2.5,0.2,0.5,1.2,0.414,,7.0,0.3,-5.5,-2.2,10.5,0.3,0.323,-3.3,4.7,0.2,8.7,1.1,13.8,7.6,0.466,11.3,-0.7,0.5,0.029,276.0,SF,0.0,0.0,0.0,1.0,0.0,0.0
283,279,3.3,0.43,7.6,0.0,0.0,0.0,1.1,0.2,3.8,3.3,0.427,7.6,2.0,0.65,3.1,46,,ABA,22.2,Lionel Billingy,2.3,2.4,8.5,0.9,2.7,6.1,0.427,0.006,7.1,0.5,-3.6,0.1,18.1,0.9,0.407,-3.6,10.7,-1.3,10.5,1.9,22.8,14.3,0.475,21.2,-0.4,-0.4,-0.018,277.0,PF,0.0,1.0,0.0,0.0,0.0,0.0
284,280,2.8,0.435,6.4,1.8,0.387,4.5,5.4,0.2,2.4,4.5,0.415,10.9,4.3,0.894,4.8,1043,937.0,NBA,31.6,Chauncey Billups,0.5,2.1,15.2,1.0,2.0,2.9,0.495,0.414,28.1,0.4,2.5,-1.6,8.9,28.3,0.441,4.1,1.7,92.4,18.8,1.7,13.6,5.3,0.58,21.9,37.6,120.8,0.176,278.0,PG,0.0,0.0,1.0,0.0,0.0,0.0
285,281,7.7,0.441,17.5,,,,6.0,0.2,1.9,7.7,0.441,17.5,4.9,0.775,6.3,901,,NBA,36.4,Dave Bing,1.1,2.9,20.3,1.3,2.7,3.8,0.441,,24.3,0.4,0.6,-1.1,5.8,23.8,0.36,1.6,3.4,45.0,17.6,1.7,16.8,4.7,0.502,22.1,8.5,68.8,0.101,279.0,PG,0.0,0.0,1.0,0.0,0.0,0.0
286,282,0.4,0.4,0.9,0.0,,0.0,0.1,0.2,0.9,0.4,0.4,0.9,0.5,0.6,0.9,11,0.0,NBA,4.6,Joe Binion,0.7,0.5,1.3,0.2,0.3,1.6,0.4,0.0,2.3,2.2,-3.8,-0.6,21.4,0.1,1.0,-3.1,18.0,0.0,12.0,1.8,17.2,19.7,0.486,13.4,0.0,0.1,0.092,280.0,PF,0.0,1.0,0.0,0.0,0.0,0.0
287,283,1.1,0.375,2.9,,,,0.4,,,1.1,0.375,2.9,0.1,1.0,0.1,11,,NBA,4.1,Jerry Bird,,0.6,2.3,,,1.1,0.375,,,,,,,0.0,0.031,,,-0.1,12.9,,,,0.385,,,0.0,-0.043,281.0,nan,0.0,0.0,0.0,0.0,0.0,1.0
288,284,8.9,0.509,17.4,0.7,0.376,1.9,6.3,0.8,8.0,9.6,0.496,19.3,4.4,0.886,5.0,897,870.0,NBA,38.4,Larry Bird,2.0,2.5,24.3,1.7,3.1,10.0,0.514,0.1,24.7,1.2,7.2,2.5,22.4,59.0,0.258,4.7,5.9,86.8,23.5,2.2,12.7,14.5,0.564,26.5,79.7,145.8,0.203,282.0,PF,0.0,1.0,0.0,0.0,0.0,0.0
289,285,7.6,0.51,14.9,0.1,0.274,0.3,3.2,0.2,1.7,7.7,0.506,15.2,2.6,0.655,3.9,696,317.0,NBA,31.1,Otis Birdsong,1.3,2.6,18.0,1.2,2.1,3.0,0.509,0.017,16.0,0.4,0.3,-1.2,6.0,19.4,0.26,1.4,4.6,28.8,16.5,1.8,11.2,5.3,0.533,24.5,12.4,48.2,0.107,283.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
290,286,3.0,0.325,9.3,,,,1.6,,,3.0,0.325,9.3,2.3,0.651,3.5,56,,BAA,,Gale Bishop,,2.4,8.3,,,,0.325,,,,,,,1.7,0.373,,,1.1,,,,,0.384,,,2.8,,284.0,nan,0.0,0.0,0.0,0.0,0.0,1.0
291,287,0.8,0.433,1.8,0.0,,0.0,0.4,0.4,1.2,0.8,0.433,1.8,0.6,0.608,0.9,235,34.0,NBA,8.4,Uwe Blab,0.5,1.5,2.1,0.1,0.6,1.8,0.433,0.0,6.6,2.4,-4.8,-0.1,15.4,1.5,0.52,-4.7,7.3,-1.1,6.6,0.5,21.2,11.4,0.481,13.9,-1.4,0.4,0.009,285.0,C,1.0,0.0,0.0,0.0,0.0,0.0
292,288,3.2,0.283,11.3,,,,2.3,,,3.2,0.283,11.3,2.8,0.601,4.6,136,,TOT,9.0,Charlie Black,,4.1,9.2,,,2.4,0.283,,,,,,,7.9,0.407,,,-3.6,1.1,,,,0.344,,,4.3,-0.148,286.0,nan,0.0,0.0,0.0,0.0,0.0,1.0
293,289,1.0,0.3,3.3,0.0,,0.0,0.7,0.0,0.7,1.0,0.3,3.3,0.7,0.25,2.7,3,,NBA,9.3,Norman Black,0.0,0.7,2.7,0.3,0.3,0.7,0.3,0.0,10.0,0.0,-12.1,-3.2,8.8,0.0,0.8,-9.0,0.0,-0.1,1.9,1.7,6.9,4.2,0.296,21.0,-0.1,-0.1,-0.133,287.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
294,290,1.7,0.402,4.2,,,,0.6,,,1.7,0.402,4.2,0.8,0.648,1.2,71,,NBA,12.3,Tom Black,,1.9,4.2,,,3.6,0.402,,6.4,,,,,0.5,0.292,,,-0.4,9.6,,,13.6,0.44,,,0.1,0.008,288.0,C,1.0,0.0,0.0,0.0,0.0,0.0
295,291,6.8,0.501,13.6,0.2,0.343,0.7,3.0,0.3,2.3,7.0,0.493,14.3,3.7,0.84,4.4,980,815.0,NBA,32.7,Rolando Blackman,1.1,1.7,18.0,0.7,1.9,3.3,0.501,0.048,14.4,0.5,-0.1,-1.6,7.7,16.6,0.308,1.5,3.6,59.0,16.7,1.1,10.3,5.7,0.555,23.2,15.3,75.6,0.113,289.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
296,292,0.5,0.359,1.4,0.0,0.0,0.1,0.3,0.1,0.5,0.5,0.333,1.6,0.2,0.75,0.3,27,0.0,NBA,4.0,Alex Blackwell,0.4,0.5,1.3,0.1,0.2,0.9,0.333,0.071,9.1,1.1,-6.3,-1.4,13.7,0.1,0.19,-4.9,10.4,-0.1,8.2,1.8,9.9,12.0,0.373,19.8,-0.1,0.0,-0.016,290.0,SF,0.0,0.0,0.0,1.0,0.0,0.0
297,293,1.5,0.37,3.9,0.0,0.0,0.0,0.4,0.1,0.9,1.5,0.367,4.0,0.5,0.509,0.9,60,0.0,NBA,9.2,Cory Blackwell,0.7,0.9,3.4,0.4,0.7,1.6,0.367,0.008,7.0,0.3,-8.4,-1.6,11.4,0.5,0.232,-6.8,8.8,-1.5,6.4,2.2,14.4,10.1,0.387,23.2,-0.9,-0.9,-0.081,291.0,SF,0.0,0.0,0.0,1.0,0.0,0.0
298,294,0.6,0.615,1.0,0.0,,0.0,0.8,0.0,0.7,0.6,0.615,1.0,0.2,0.667,0.2,13,0.0,NBA,6.2,James Blackwell,0.2,0.6,1.4,0.3,0.4,0.8,0.615,0.0,20.0,0.0,-1.9,0.2,13.0,0.1,0.231,-2.1,2.8,0.1,11.6,2.6,25.9,8.0,0.628,10.6,0.0,0.2,0.091,292.0,PG,0.0,0.0,1.0,0.0,0.0,0.0
299,295,1.3,0.433,3.0,0.2,0.182,1.1,1.8,0.0,0.4,1.5,0.366,4.1,0.5,0.833,0.6,10,0.0,NBA,11.2,Nate Blackwell,0.2,1.6,3.7,0.3,0.8,0.6,0.39,0.268,20.0,0.0,-8.6,-4.7,3.9,0.0,0.146,-3.9,1.9,-0.1,6.1,1.2,15.5,2.9,0.424,18.2,-0.2,-0.1,-0.045,293.0,PG,0.0,0.0,1.0,0.0,0.0,0.0
300,296,0.6,0.32,1.8,0.1,0.2,0.4,1.2,0.0,0.6,0.6,0.3,2.1,0.4,1.0,0.4,14,0.0,NBA,11.9,Will Blalock,0.4,0.6,1.8,0.4,0.9,1.1,0.317,0.167,14.9,0.0,-5.7,-0.2,6.4,0.1,0.2,-5.4,4.3,-0.3,4.5,1.7,26.9,5.4,0.383,12.8,-0.2,-0.1,-0.032,294.0,PG,0.0,0.0,1.0,0.0,0.0,0.0
301,297,1.5,0.38,3.9,,,,1.3,,,1.5,0.38,3.9,0.3,0.529,0.5,36,,NBA,10.1,George Blaney,,0.9,3.3,,,1.0,0.38,,,,,,,0.3,0.12,,,-0.4,7.8,,,,0.391,,,-0.1,-0.014,295.0,PG,0.0,0.0,1.0,0.0,0.0,0.0
302,298,0.7,0.508,1.3,0.1,0.253,0.5,0.8,0.1,0.6,0.8,0.436,1.9,0.3,0.667,0.4,142,2.0,NBA,7.4,Lance Blanks,0.2,0.9,2.0,0.3,0.4,0.8,0.472,0.282,16.7,0.5,-3.8,-1.0,8.9,0.8,0.214,-2.7,3.5,-0.1,8.8,1.9,17.8,6.2,0.496,15.0,-0.5,0.7,0.031,296.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
303,299,1.5,0.429,3.5,0.0,,0.0,0.5,0.0,0.5,1.5,0.429,3.5,0.0,,0.0,2,0.0,NBA,6.5,Ricky Blanton,1.0,0.5,3.0,1.0,0.5,1.5,0.429,0.0,11.9,0.0,2.6,2.7,9.2,0.0,0.0,0.0,17.2,0.0,19.3,8.0,12.5,13.3,0.429,26.6,0.0,0.0,0.088,297.0,SF,0.0,0.0,0.0,1.0,0.0,0.0
304,300,4.0,0.478,8.4,0.1,0.237,0.4,1.4,0.8,3.5,4.1,0.467,8.8,1.8,0.725,2.4,564,191.0,NBA,22.1,Andray Blatche,1.8,2.5,10.1,0.9,1.6,5.4,0.472,0.044,11.3,2.9,-0.3,1.0,18.9,14.0,0.277,-1.2,9.6,5.2,16.8,2.1,14.1,14.1,0.511,23.7,5.4,19.2,0.074,298.0,PF,0.0,1.0,0.0,0.0,0.0,0.0
305,301,3.8,0.445,8.6,1.4,0.336,4.3,6.7,0.3,3.0,5.3,0.409,12.9,1.4,0.736,1.9,889,800.0,NBA,34.9,Mookie Blaylock,1.1,1.9,13.5,2.3,2.3,4.1,0.465,0.332,30.9,0.6,3.0,0.8,9.8,38.5,0.15,2.2,3.6,33.3,16.8,3.5,14.4,6.6,0.488,20.1,38.9,71.8,0.111,299.0,PG,0.0,0.0,1.0,0.0,0.0,0.0
306,302,0.5,0.25,2.0,,,,0.5,,,0.5,0.25,2.0,0.0,0.0,0.5,2,,NBA,,Leon Blevins,,1.5,1.0,,,1.0,0.25,,,,,,,0.0,0.25,,,-0.1,,,,,0.225,,,0.0,,300.0,nan,0.0,0.0,0.0,0.0,0.0,1.0
307,303,4.3,0.433,10.0,,,,1.3,0.5,3.1,4.3,0.433,10.0,3.2,0.778,4.1,597,,NBA,24.0,John Block,1.4,2.9,11.9,0.8,,6.6,0.433,,7.7,1.3,-1.4,-0.2,16.3,17.4,0.413,-1.2,7.6,15.3,15.4,1.9,,12.6,0.502,,0.4,32.7,0.11,301.0,PF,0.0,1.0,0.0,0.0,0.0,0.0
308,304,2.2,0.255,8.8,,,,0.8,,,2.2,0.255,8.8,2.3,0.713,3.3,93,,BAA,,Mike Bloom,,1.8,6.8,,,,0.255,,,,,,,1.5,0.369,,,1.0,,,,,0.332,,,2.5,,302.0,nan,0.0,0.0,0.0,0.0,0.0,1.0
309,305,1.5,0.475,3.1,0.0,0.115,0.0,0.7,0.4,2.5,1.5,0.471,3.2,0.6,0.587,1.0,644,77.0,NBA,15.4,Corie Blount,1.7,2.1,3.6,0.5,0.8,4.2,0.471,0.013,7.0,2.0,-1.0,1.5,18.4,14.0,0.306,-2.5,12.4,4.3,11.1,1.7,18.3,15.4,0.494,12.7,2.4,18.2,0.088,303.0,PF,0.0,1.0,0.0,0.0,0.0,0.0
310,306,3.3,0.507,6.5,0.1,0.359,0.2,0.8,0.8,3.1,3.3,0.504,6.6,1.4,0.723,2.0,605,393.0,NBA,23.1,Mark Blount,1.5,2.6,8.2,0.5,1.5,4.6,0.508,0.026,6.3,2.8,-2.4,0.5,15.8,14.3,0.298,-2.9,7.5,4.5,12.5,1.2,17.1,11.7,0.545,18.0,-1.4,18.8,0.065,304.0,C,1.0,0.0,0.0,0.0,0.0,0.0
311,307,2.0,0.48,4.2,0.1,0.222,0.4,1.4,0.0,0.6,2.1,0.459,4.5,0.4,0.643,0.6,49,2.0,NBA,11.1,Ray Blume,0.3,1.2,4.6,0.5,1.1,0.8,0.468,0.081,18.9,0.2,-5.9,-2.7,5.4,0.3,0.126,-3.2,3.0,-0.5,9.7,2.0,18.7,4.3,0.482,22.1,-0.5,-0.1,-0.013,305.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
312,308,1.6,0.35,4.5,,,,2.1,,,1.6,0.35,4.5,1.5,0.612,2.4,227,,NBA,21.2,Nelson Bobb,,2.3,4.6,,,2.4,0.35,,,,,,,3.6,0.523,,,2.5,12.2,,,,0.415,,,6.0,0.062,306.0,PG,0.0,0.0,1.0,0.0,0.0,0.0
313,309,0.5,0.333,1.5,0.5,0.5,1.0,0.0,0.0,1.5,1.0,0.4,2.5,0.0,,0.0,2,0.0,NBA,6.0,Tony Bobbitt,0.0,0.5,2.5,0.0,0.0,1.5,0.5,0.4,0.0,0.0,-13.9,-8.4,28.0,0.0,0.0,-5.5,0.0,0.0,11.7,0.0,0.0,14.1,0.5,18.8,0.0,0.0,0.059,307.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
314,310,4.7,0.403,11.8,,,,3.5,,,4.7,0.403,11.8,2.0,0.748,2.6,474,,NBA,31.2,Bucky Bockhorn,,3.3,11.5,,,4.7,0.403,,14.0,,,,,5.1,0.225,,,2.8,10.4,,,,0.443,,,7.9,0.026,308.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
315,311,2.9,0.453,6.5,,,,3.2,0.5,4.0,2.9,0.453,6.5,1.4,0.675,2.0,635,,NBA,22.7,Tom Boerwinkle,1.8,2.9,7.2,0.4,1.2,9.0,0.453,,19.4,1.5,3.8,2.5,25.4,28.8,0.313,1.3,10.4,9.2,16.3,1.0,31.8,19.6,0.491,14.5,7.5,38.0,0.127,309.0,C,1.0,0.0,0.0,0.0,0.0,0.0
316,312,1.1,0.442,2.6,1.1,0.353,3.0,1.3,0.1,2.1,2.2,0.394,5.6,0.9,0.716,1.2,671,333.0,NBA,21.6,Keith Bogans,0.6,1.8,6.3,0.6,0.9,2.7,0.489,0.537,9.3,0.4,-0.8,-0.2,11.4,13.0,0.215,-0.5,3.1,7.4,9.6,1.6,12.2,7.3,0.517,14.7,4.5,20.4,0.068,310.0,SF,0.0,0.0,0.0,1.0,0.0,0.0
317,313,3.1,0.47,6.6,0.1,0.278,0.4,7.6,0.0,2.0,3.2,0.458,7.0,1.2,0.827,1.4,889,556.0,NBA,28.6,Muggsy Bogues,0.6,1.8,7.7,1.5,1.6,2.6,0.467,0.061,37.2,0.1,-1.2,-1.1,7.9,19.3,0.207,-0.1,2.3,34.7,15.0,2.7,17.5,5.1,0.506,13.9,5.2,54.0,0.102,311.0,PG,0.0,0.0,1.0,0.0,0.0,0.0
318,314,0.3,0.429,0.8,0.0,,0.0,0.2,0.4,1.0,0.3,0.429,0.8,0.7,0.679,1.1,26,0.0,NBA,5.8,Etdrick Bohannon,0.7,1.2,1.4,0.1,0.5,1.7,0.429,0.0,5.8,4.6,-4.7,0.1,19.7,0.1,1.333,-4.8,13.3,0.0,10.2,0.7,29.6,16.4,0.555,14.1,-0.1,0.1,0.043,312.0,PF,0.0,1.0,0.0,0.0,0.0,0.0
319,315,1.0,0.435,2.3,0.1,0.21,0.3,0.3,3.3,3.3,1.1,0.407,2.6,0.4,0.561,0.6,624,133.0,NBA,18.7,Manute Bol,1.0,2.3,2.6,0.2,0.7,4.2,0.42,0.125,1.8,10.2,-0.6,5.3,18.8,19.1,0.246,-5.9,5.5,-6.8,9.4,0.5,19.9,12.2,0.441,7.9,4.2,12.3,0.051,313.0,C,1.0,0.0,0.0,0.0,0.0,0.0
320,316,1.2,0.407,3.0,,,,0.6,,,1.2,0.407,3.0,0.4,0.615,0.7,20,,NBA,10.1,Bill Bolger,,1.4,2.8,,,1.8,0.407,,,,,,,0.1,0.22,,,0.1,10.7,,,,0.433,,,0.2,0.039,314.0,SF,0.0,0.0,0.0,1.0,0.0,0.0
321,317,0.7,0.4,1.7,,,,0.0,,,0.7,0.4,1.7,0.0,,0.0,3,,NBA,7.0,Doug Bolstorff,,0.3,1.3,,,0.0,0.4,,,,,,,0.0,0.0,,,0.0,2.2,,,,0.4,,,0.0,-0.004,315.0,nan,0.0,0.0,0.0,0.0,0.0,1.0
322,318,0.7,0.25,2.7,,,,0.0,,,0.7,0.25,2.7,0.0,,0.0,3,,NBA,3.0,George Bon Salle,,0.0,1.3,,,0.7,0.25,,,,,,,0.0,0.0,,,-0.1,0.1,,,,0.25,,,-0.1,-0.429,316.0,PF,0.0,1.0,0.0,0.0,0.0,0.0
323,319,0.3,0.333,0.9,,,,0.3,0.0,0.4,0.3,0.333,0.9,0.0,,0.0,7,,NBA,3.0,Phil Bond,0.1,0.1,0.6,0.1,0.3,0.6,0.333,,11.9,0.0,-6.4,0.0,15.6,0.0,0.0,-6.4,4.9,-0.1,5.3,2.3,25.0,10.1,0.333,15.2,0.0,0.0,-0.092,317.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
324,320,1.9,0.431,4.4,0.3,0.299,0.9,1.2,0.2,1.4,2.2,0.409,5.3,1.1,0.767,1.5,153,42.0,NBA,15.9,Walter Bond,0.5,2.4,5.7,0.6,1.0,1.9,0.434,0.17,10.9,1.0,-3.4,-0.8,10.1,1.2,0.282,-2.6,3.5,-0.6,9.2,2.0,13.9,6.6,0.482,18.1,-0.9,0.7,0.013,318.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
325,321,0.6,0.385,1.6,0.1,0.167,0.8,0.0,0.1,0.4,0.8,0.316,2.4,0.8,0.75,1.0,8,0.0,NBA,6.0,Dexter Boney,0.4,0.4,2.4,0.3,0.1,0.8,0.342,0.316,0.0,1.5,-9.7,-5.0,7.2,0.0,0.421,-4.7,7.3,0.0,10.2,2.1,4.3,7.3,0.422,22.1,-0.1,0.0,0.013,319.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
326,322,2.1,0.389,5.4,0.0,0.0,0.0,0.4,,,2.1,0.388,5.4,1.9,0.824,2.4,118,,TOT,9.4,Ron Bonham,,0.8,6.1,,0.8,1.4,0.388,0.003,6.0,,,,,1.4,0.436,,,1.3,16.7,,11.1,6.0,0.476,25.2,,2.7,0.116,320.0,SF,0.0,0.0,0.0,1.0,0.0,0.0
327,323,2.8,0.471,5.9,0.0,0.125,0.1,1.4,0.3,3.2,2.8,0.468,5.9,1.4,0.59,2.3,318,120.0,NBA,23.2,Anthony Bonner,2.2,2.5,6.9,1.1,1.4,5.4,0.469,0.009,8.7,0.8,-0.5,1.6,15.5,9.8,0.392,-2.1,10.7,0.9,11.5,2.3,16.9,13.1,0.499,15.3,2.8,10.8,0.07,321.0,PF,0.0,1.0,0.0,0.0,0.0,0.0
328,324,1.2,0.516,2.3,1.0,0.414,2.4,0.7,0.3,2.2,2.2,0.464,4.8,0.4,0.78,0.5,792,112.0,NBA,16.9,Matt Bonner,0.8,1.7,5.8,0.4,0.4,3.0,0.57,0.51,6.3,1.2,1.0,-0.2,15.1,14.6,0.115,1.2,5.5,23.8,13.6,1.1,7.0,10.4,0.585,14.8,10.1,38.5,0.138,322.0,C,1.0,0.0,0.0,0.0,0.0,0.0
329,325,2.5,0.5,5.0,0.0,0.0,0.1,0.5,,3.9,2.5,0.492,5.1,0.8,0.556,1.5,12,,ABA,18.4,Butch Booker,3.7,1.9,5.8,,1.1,7.6,0.492,0.016,3.6,,,,,0.2,0.295,,,0.1,15.7,,15.9,18.7,0.508,13.3,,0.4,0.082,323.0,C,1.0,0.0,0.0,0.0,0.0,0.0
330,326,1.5,0.475,3.1,0.5,0.268,1.8,2.3,0.1,0.9,1.9,0.4,4.8,0.8,0.871,1.0,32,4.0,NBA,17.5,Melvin Booker,0.3,1.4,5.2,0.3,1.2,1.2,0.448,0.361,20.4,0.4,-6.2,-3.5,6.2,0.0,0.2,-2.6,1.7,0.0,8.2,0.7,18.8,4.0,0.492,16.5,-0.6,-0.1,-0.005,324.0,PG,0.0,0.0,1.0,0.0,0.0,0.0
331,327,2.2,0.544,4.1,0.0,,0.0,0.5,0.7,3.0,2.2,0.544,4.1,0.8,0.445,1.8,256,88.0,NBA,17.5,Josh Boone,1.9,1.8,5.2,0.4,0.7,4.9,0.544,0.0,4.7,3.1,-1.9,0.5,20.4,4.7,0.444,-2.4,12.4,4.3,14.2,1.2,11.9,16.4,0.538,14.6,0.1,9.1,0.097,325.0,PF,0.0,1.0,0.0,0.0,0.0,0.0
332,328,6.4,0.467,13.7,0.2,0.304,0.6,3.7,0.2,2.6,6.6,0.461,14.2,3.5,0.837,4.2,1041,,TOT,31.1,Ron Boone,1.6,3.1,16.8,1.3,3.2,4.2,0.466,0.034,17.4,0.3,-0.5,-1.2,7.7,22.7,0.293,0.8,4.7,36.6,15.4,1.9,17.1,6.6,0.522,24.1,10.0,59.3,0.088,326.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
333,329,1.3,0.453,2.8,0.0,0.222,0.0,0.4,1.0,1.9,1.3,0.451,2.9,0.7,0.748,0.9,366,83.0,NBA,12.2,Calvin Booth,0.9,1.9,3.3,0.3,0.5,2.8,0.452,0.009,5.2,6.0,-1.3,2.0,18.1,4.9,0.311,-3.3,8.2,3.1,12.4,1.2,13.1,13.1,0.5,13.9,0.8,8.0,0.086,327.0,C,1.0,0.0,0.0,0.0,0.0,0.0
334,330,1.1,0.342,3.2,0.0,0.091,0.2,0.9,0.2,1.6,1.1,0.325,3.5,0.6,0.563,1.1,45,4.0,NBA,10.0,Keith Booth,0.6,1.4,2.9,0.5,0.9,2.2,0.328,0.07,16.5,1.9,-6.2,1.0,19.3,0.6,0.306,-7.2,6.8,-1.4,7.3,2.7,19.1,12.8,0.365,23.0,-0.5,-0.8,-0.08,328.0,SF,0.0,0.0,0.0,1.0,0.0,0.0
335,331,5.7,0.462,12.3,,,,1.4,,,5.7,0.462,12.3,3.5,0.761,4.6,874,,NBA,29.2,Bob Boozer,,2.8,14.8,,,8.1,0.462,,6.9,,,,,19.4,0.372,,,44.9,16.1,,,11.6,0.519,,,64.2,0.121,329.0,PF,0.0,1.0,0.0,0.0,0.0,0.0
336,332,6.8,0.522,13.0,0.0,0.071,0.0,2.2,0.4,7.1,6.8,0.521,13.0,2.6,0.722,3.7,861,775.0,NBA,31.2,Carlos Boozer,2.4,3.0,16.2,0.9,2.1,9.5,0.521,0.001,13.2,1.0,1.2,0.8,26.6,39.7,0.281,0.4,8.8,40.6,19.5,1.5,12.6,17.7,0.554,24.3,22.1,80.3,0.143,330.0,PF,0.0,1.0,0.0,0.0,0.0,0.0
337,333,1.2,0.423,2.7,0.0,0.0,0.0,0.8,0.6,2.2,1.2,0.421,2.7,0.8,0.742,1.1,83,23.0,NBA,13.5,Curtis Borchardt,1.2,2.4,3.1,0.2,0.8,3.3,0.421,0.004,9.2,3.5,-2.4,1.0,20.4,0.9,0.39,-3.4,10.7,0.0,9.0,0.7,20.8,15.4,0.483,13.9,-0.1,1.0,0.041,331.0,C,1.0,0.0,0.0,0.0,0.0,0.0
338,334,1.6,0.295,5.5,,,,0.7,,,1.6,0.295,5.5,1.3,0.671,1.9,75,,TOT,,Jake Bornheimer,,2.1,4.6,,,,0.295,,,,,,,1.9,0.353,,,-0.7,,,,,0.358,,,1.2,,332.0,nan,0.0,0.0,0.0,0.0,0.0,1.0
339,335,1.6,0.467,3.5,0.0,0.0,0.2,0.6,0.2,1.5,1.6,0.444,3.7,0.4,0.545,0.6,17,6.0,NBA,9.8,Lazaro Borrell,0.8,0.5,3.6,0.4,0.4,2.4,0.444,0.048,9.7,1.3,-3.5,-0.7,17.3,0.2,0.175,-2.8,9.1,0.1,15.0,1.8,8.1,13.1,0.457,19.5,-0.1,0.3,0.079,333.0,SF,0.0,0.0,0.0,1.0,0.0,0.0
340,336,1.1,0.351,3.1,,,,0.2,,,1.1,0.351,3.1,0.5,0.667,0.8,24,,NBA,,Ike Borsavage,,1.4,2.7,,,1.0,0.351,,,,,,,0.2,0.243,,,-0.1,,,,,0.391,,,0.1,,334.0,nan,0.0,0.0,0.0,0.0,0.0,1.0
341,337,4.2,0.371,11.2,,,,2.1,,,4.2,0.371,11.2,2.9,0.816,3.5,285,,NBA,32.3,Vince Boryla,,3.2,11.2,,,3.7,0.371,,,,,,,6.1,0.311,,,9.8,10.3,,,,0.438,,,16.0,0.043,335.0,SF,0.0,0.0,0.0,1.0,0.0,0.0
342,338,3.0,0.545,5.5,,,,0.8,0.0,2.0,3.0,0.545,5.5,0.5,0.4,1.3,4,,NBA,12.0,Jim Bostic,2.0,1.3,6.5,0.0,0.8,4.0,0.545,,9.7,0.0,-1.6,-3.7,17.2,0.0,0.227,2.2,17.8,0.1,18.9,0.0,11.0,17.5,0.537,21.7,0.0,0.1,0.144,336.0,PF,0.0,1.0,0.0,0.0,0.0,0.0
343,339,1.8,0.462,4.0,0.0,,0.0,0.2,0.2,1.5,1.8,0.462,4.0,0.6,0.615,1.0,13,,NBA,9.6,Lawrence Boston,1.5,1.9,4.3,0.3,0.6,3.0,0.462,0.0,2.3,0.8,-4.7,-2.4,16.2,0.1,0.25,-2.3,15.1,0.1,12.6,1.5,12.2,15.7,0.485,20.7,-0.1,0.2,0.075,337.0,PF,0.0,1.0,0.0,0.0,0.0,0.0
344,340,3.0,0.532,5.6,0.1,0.545,0.1,1.6,0.3,2.8,3.0,0.533,5.6,1.7,0.724,2.3,366,0.0,NBA,19.3,Tom Boswell,1.8,3.0,7.7,0.4,1.8,4.7,0.534,0.005,11.6,0.8,0.1,-0.3,15.2,5.9,0.418,0.4,10.2,9.3,13.7,0.9,19.7,12.7,0.579,16.9,3.7,15.2,0.104,338.0,PF,0.0,1.0,0.0,0.0,0.0,0.0
345,341,0.3,0.368,0.9,0.0,,0.0,0.1,0.4,0.8,0.3,0.368,0.9,0.3,0.556,0.6,44,1.0,NBA,6.3,Ruben Boumtje-Boumtje,0.5,0.9,1.0,0.1,0.3,1.3,0.368,0.0,3.1,4.7,-4.5,1.2,15.1,0.3,0.711,-5.7,9.3,-0.1,6.4,0.8,21.9,12.1,0.431,10.6,-0.2,0.2,0.027,339.0,C,1.0,0.0,0.0,0.0,0.0,0.0
346,342,2.9,0.339,8.5,,,,2.0,,,2.9,0.339,8.5,3.3,0.706,4.7,195,,NBA,25.2,Don Boven,,3.9,9.0,,,4.2,0.339,,,,,,,2.2,0.549,,,5.2,12.0,,,,0.429,,,7.4,0.052,340.0,nan,0.0,0.0,0.0,0.0,0.0,1.0
347,343,1.1,0.411,2.8,0.0,0.182,0.1,0.2,0.3,1.3,1.1,0.404,2.8,0.7,0.768,0.9,142,0.0,NBA,9.7,Cal Bowdler,0.6,1.1,3.0,0.3,0.3,1.9,0.407,0.027,3.3,2.3,-4.7,-0.9,14.8,1.2,0.31,-3.8,7.3,0.6,11.3,1.6,8.6,11.0,0.463,16.2,-0.9,1.8,0.061,341.0,SF,0.0,0.0,0.0,1.0,0.0,0.0
