,2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,Name,ORB,PF,PTS,STL,TOV,TRB,eFG%
980,[u'2.4'],[u'.488'],[u'5.0'],[u'0.3'],[u'.311'],[u'0.9'],[u'2.2'],[u'0.1'],[u'1.0'],[u'2.7'],[u'.461'],[u'5.9'],[u'1.0'],[u'.663'],[u'1.6'],[u'67'],[u'10'],[u'NBA'],[u'15.6'],John Douglas,[u'0.4'],[u'2.2'],[u'6.7'],[u'0.7'],[u'1.4'],[u'1.4'],[u'.485']
981,[u'3.0'],[u'.496'],[u'6.1'],[u'0.0'],[u'.000'],[u'0.0'],[u'1.1'],[u'0.7'],[u'4.2'],[u'3.0'],[u'.495'],[u'6.1'],[u'1.8'],[u'.601'],[u'3.0'],[u'456'],[u'17'],[u'NBA'],[u'22.2'],Leon Douglas,[u'2.3'],[u'3.6'],[u'7.9'],[u'0.5'],[u'1.8'],[u'6.5'],[u'.495']
982,[u'4.2'],[u'.504'],[u'8.2'],[u'0.2'],[u'.267'],[u'0.8'],[u'5.9'],[u'0.1'],[u'1.5'],[u'4.4'],[u'.484'],[u'9.0'],[u'2.1'],[u'.678'],[u'3.1'],[u'765'],[u'482'],[u'NBA'],[u'27.6'],Sherman Douglas,[u'0.7'],[u'2.1'],[u'11.0'],[u'1.0'],[u'2.3'],[u'2.2'],[u'.495']
983,[u'4.5'],[u'.460'],[u'9.7'],[u'0.0'],[u'.222'],[u'0.2'],[u'1.0'],[],[u'4.4'],[u'4.5'],[u'.457'],[u'9.8'],[u'2.1'],[u'.647'],[u'3.2'],[u'222'],[],[u'TOT'],[u'22.4'],Sonny Dove,[u'3.0'],[u'3.1'],[u'11.1'],[],[u'2.6'],[u'6.0'],[u'.459']
984,[u'0.3'],[u'.250'],[u'1.0'],[u'0.5'],[u'.400'],[u'1.3'],[u'0.3'],[],[u'0.0'],[u'0.8'],[u'.333'],[u'2.3'],[u'0.0'],[],[u'0.0'],[u'4'],[],[u'ABA'],[u'3.3'],Jerry Dover,[u'0.0'],[u'0.8'],[u'2.0'],[],[u'0.0'],[u'0.0'],[u'.444']
985,[u'2.0'],[u'.417'],[u'4.8'],[u'0.1'],[u'.300'],[u'0.4'],[u'2.1'],[u'0.1'],[u'0.6'],[u'2.1'],[u'.408'],[u'5.2'],[u'0.7'],[u'.941'],[u'0.7'],[u'24'],[u'0'],[u'NBA'],[u'12.2'],Zabian Dowdell,[u'0.2'],[u'1.3'],[u'5.0'],[u'0.8'],[u'1.2'],[u'0.8'],[u'.420']
986,[u'0.0'],[u'.000'],[u'0.7'],[],[],[],[u'0.0'],[],[],[u'0.0'],[u'.000'],[u'0.7'],[u'0.0'],[],[u'0.0'],[u'3'],[],[u'BAA'],[],Bill Downey,[],[u'0.0'],[u'0.0'],[],[],[],[u'.000']
987,[u'0.8'],[u'.318'],[u'2.4'],[],[],[],[u'0.4'],[u'0.0'],[u'1.0'],[u'0.8'],[u'.318'],[u'2.4'],[u'0.8'],[u'.550'],[u'1.5'],[u'27'],[],[u'NBA'],[u'5.4'],Steve Downing,[u'0.5'],[u'1.2'],[u'2.4'],[u'0.2'],[],[u'1.5'],[u'.318']
988,[u'1.5'],[u'.500'],[u'3.0'],[],[],[],[u'0.8'],[],[],[u'1.5'],[u'.500'],[u'3.0'],[u'1.0'],[u'.800'],[u'1.3'],[u'4'],[],[u'NBA'],[u'6.3'],Danny Doyle,[],[u'1.0'],[u'4.0'],[],[],[u'2.0'],[u'.500']
989,[u'1.0'],[u'.346'],[u'2.9'],[u'0.0'],[u'.000'],[u'0.1'],[u'0.3'],[u'0.2'],[u'0.9'],[u'1.0'],[u'.333'],[u'3.0'],[u'0.4'],[u'.500'],[u'0.9'],[u'9'],[u'0'],[u'NBA'],[u'10.2'],Terry Dozier,[u'0.8'],[u'1.1'],[u'2.4'],[u'0.7'],[u'0.8'],[u'1.7'],[u'.333']
990,[u'0.8'],[u'.469'],[u'1.7'],[u'0.0'],[u'.333'],[u'0.0'],[u'0.4'],[u'0.3'],[u'1.5'],[u'0.8'],[u'.467'],[u'1.7'],[u'0.6'],[u'.649'],[u'0.8'],[u'474'],[u'94'],[u'NBA'],[u'8.9'],Greg Dreiling,[u'0.6'],[u'1.9'],[u'2.1'],[u'0.2'],[u'0.5'],[u'2.1'],[u'.469']
991,[u'1.1'],[u'.389'],[u'2.8'],[u'0.6'],[u'.371'],[u'1.7'],[u'2.2'],[u'0.0'],[u'1.0'],[u'1.7'],[u'.382'],[u'4.5'],[u'0.4'],[u'.830'],[u'0.5'],[u'243'],[u'46'],[u'NBA'],[u'16.3'],Bryce Drew,[u'0.2'],[u'1.2'],[u'4.4'],[u'0.5'],[u'0.9'],[u'1.2'],[u'.451']
992,[u'7.4'],[u'.472'],[u'15.7'],[u'0.0'],[u'.175'],[u'0.2'],[u'1.7'],[u'0.3'],[u'4.0'],[u'7.4'],[u'.470'],[u'15.8'],[u'5.8'],[u'.748'],[u'7.8'],[u'739'],[u'104'],[u'NBA'],[u'29.5'],John Drew,[u'2.9'],[u'3.6'],[u'20.7'],[u'1.4'],[u'2.7'],[u'6.9'],[u'.471']
993,[u'4.5'],[u'.478'],[u'9.4'],[u'0.2'],[u'.291'],[u'0.6'],[u'5.2'],[u'0.1'],[u'1.4'],[u'4.6'],[u'.467'],[u'9.9'],[u'1.9'],[u'.798'],[u'2.4'],[u'714'],[u'341'],[u'NBA'],[u'25.7'],Larry Drew,[u'0.4'],[u'1.8'],[u'11.4'],[u'1.1'],[u'2.2'],[u'1.8'],[u'.475']
