,Unnamed: 0_x,2P,2P%,2PA,3P_x,3P%_x,3PA_x,AST_x,BLK_x,DRB,FG_x,FG%_x,FGA_x,FT_x,FT%_x,FTA_x,G_x,GS,Lg,MP_x,Name,ORB_x,PF_x,PTS_x,STL_x,TOV_x,TRB_x,eFG%,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,Unnamed: 0_y,3P_y,3P%_y,3PA_y,AST_y,AST_per_g,BLK_y,FG_y,FG%_y,FGA_y,FT_y,FT%_y,FTA_y,G_y,MP_y,MP_per_g,ORB_y,PF_y,PTS_y,PTS_per_g,STL_y,TOV_y,TRB_y,TRB_per_g
616,612,3.7,0.505,7.3,0.0,0.13,0.0,1.1,0.9,2.3,3.7,0.503,7.4,1.9,0.78,2.4,987,168.0,NBA,20.0,Antoine Carr,1.2,3.1,9.3,0.4,1.2,3.4,0.503,0.006,8.7,3.1,-0.6,0.2,12.8,20.3,0.324,-0.8,6.7,21.8,14.2,0.9,12.5,9.8,0.551,20.9,7.0,42.1,0.102,367.0,3.0,0.6,5.0,243.0,2.2,209.0,763.0,0.557,1370.0,382.0,0.746,512.0,112.0,3360.0,30.0,,385.0,1911.0,17.1,99.0,248.0,776.0,6.9
617,613,6.4,0.449,14.2,0.0,0.154,0.1,2.8,0.1,1.4,6.4,0.449,14.2,2.6,0.804,3.2,682,,NBA,28.8,Austin Carr,1.3,2.0,15.4,0.8,1.6,2.9,0.449,0.001,14.5,0.2,-1.0,-1.9,5.5,11.1,0.225,1.0,4.8,21.8,15.0,1.3,11.7,5.2,0.491,22.1,4.0,32.9,0.08,368.0,,,,,,,1017.0,0.529,1923.0,526.0,0.814,646.0,74.0,,,,,2560.0,34.6,,,538.0,7.3
618,614,1.9,0.445,4.3,0.5,0.338,1.6,1.0,0.2,1.6,2.5,0.416,5.9,1.2,0.807,1.5,297,66.0,NBA,15.2,Chris Carr,0.6,1.7,6.7,0.3,1.0,2.2,0.462,0.268,11.6,0.8,-4.1,-2.5,12.5,2.6,0.261,-1.6,4.5,1.3,11.9,1.1,13.7,8.4,0.509,22.6,-2.4,3.9,0.042,369.0,64.0,0.358,179.0,138.0,1.5,66.0,458.0,0.503,910.0,271.0,0.761,356.0,93.0,2368.0,25.5,,235.0,1251.0,13.5,91.0,185.0,539.0,5.8
619,615,1.6,0.355,4.4,0.1,0.167,0.7,1.6,0.2,1.0,1.7,0.329,5.1,0.6,0.75,0.8,42,7.0,NBA,14.9,Cory Carr,0.2,1.6,4.1,0.5,1.1,1.2,0.34,0.139,20.2,0.9,-8.8,-2.0,8.2,0.4,0.148,-6.8,1.4,-1.6,5.1,1.8,16.7,4.6,0.372,20.8,-1.1,-1.2,-0.089,370.0,262.0,0.366,716.0,224.0,1.9,18.0,630.0,0.428,1473.0,382.0,0.797,479.0,115.0,2101.0,23.9,,152.0,1904.0,16.6,80.0,166.0,411.0,3.6
620,616,4.5,0.512,8.8,0.0,0.079,0.1,1.4,0.4,5.2,4.5,0.51,8.9,2.5,0.684,3.7,674,235.0,NBA,25.5,Kenny Carr,2.2,3.2,11.6,0.7,2.1,7.4,0.51,0.006,7.3,1.0,-1.1,-0.2,23.0,19.3,0.413,-0.9,9.6,14.3,14.7,1.3,16.9,16.2,0.551,19.8,4.0,33.6,0.094,371.0,,,,,,,710.0,0.516,1375.0,352.0,0.681,517.0,86.0,,,,,1772.0,20.6,,,789.0,9.2
621,617,3.9,0.478,8.2,0.1,0.275,0.4,2.0,0.4,2.9,4.0,0.472,8.5,1.9,0.737,2.6,678,42.0,TOT,24.2,M.L. Carr,1.6,2.5,10.0,1.4,1.7,4.5,0.476,0.027,10.7,0.9,1.3,1.3,12.5,19.8,0.307,0.0,7.0,13.7,14.0,2.6,15.9,9.8,0.519,18.4,13.6,33.5,0.098,372.0,,,,,,,852.0,0.573,1488.0,289.0,0.618,468.0,111.0,,,,,1993.0,18.0,,,1265.0,11.4
622,618,5.8,0.425,13.7,1.1,0.377,3.0,2.6,,2.4,7.0,0.417,16.8,4.9,0.851,5.8,350,,ABA,35.3,Darel Carrier,0.7,3.1,20.0,,2.6,3.4,0.451,0.18,10.6,,,,6.4,9.7,0.345,,1.5,20.8,15.6,,11.8,4.2,0.519,22.9,,30.6,0.119,,,,,,,,,,,,,,,,,,,,,,,,
623,619,3.3,0.429,7.6,0.0,0.0,0.2,1.5,0.3,1.4,3.3,0.428,7.6,1.7,0.76,2.2,82,,NBA,21.8,Bob Carrington,0.9,2.7,8.2,0.8,1.5,2.3,0.428,0.003,9.1,0.7,-3.1,-0.8,6.3,1.1,0.286,-2.2,4.0,0.2,9.4,1.7,14.9,5.1,0.477,17.3,-0.5,1.3,0.036,373.0,,,,,,,778.0,0.517,1505.0,293.0,0.672,436.0,94.0,,,,,1849.0,19.7,,,517.0,5.5
624,620,7.1,0.475,15.0,0.0,0.0,0.0,1.8,1.6,5.3,7.1,0.474,15.0,3.4,0.747,4.6,705,533.0,NBA,32.4,Joe Barry Carroll,2.4,3.1,17.7,1.0,2.8,7.7,0.474,0.001,8.3,2.8,-0.7,0.3,18.2,23.2,0.305,-1.0,7.8,12.4,16.4,1.4,14.1,12.9,0.519,24.3,7.5,35.6,0.075,374.0,,,,,,,875.0,0.546,1602.0,425.0,0.651,653.0,123.0,3831.0,31.1,,,2175.0,17.7,,,1148.0,9.3
625,621,1.5,0.429,3.5,0.7,0.384,2.0,0.7,0.1,1.6,2.2,0.413,5.4,1.3,0.841,1.6,459,84.0,NBA,16.5,Matt Carroll,0.3,1.5,6.6,0.5,0.6,1.9,0.482,0.359,6.9,0.6,-2.8,-1.7,11.3,4.9,0.29,-1.1,2.2,5.9,11.6,1.5,9.5,6.6,0.535,18.7,-1.6,10.7,0.068,375.0,301.0,0.395,762.0,314.0,2.4,24.0,628.0,0.445,1412.0,293.0,0.825,355.0,133.0,4147.0,31.2,,,1850.0,13.9,119.0,,570.0,4.3
