,Unnamed: 0_x,2P,2P%,2PA,3P_x,3P%_x,3PA_x,AST_x,BLK_x,DRB,FG_x,FG%_x,FGA_x,FT_x,FT%_x,FTA_x,G_x,GS,Lg,MP_x,Name,ORB_x,PF_x,PTS_x,STL_x,TOV_x,TRB_x,eFG%,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,Unnamed: 0_y,3P_y,3P%_y,3PA_y,AST_y,AST_per_g,BLK_y,FG_y,FG%_y,FGA_y,FT_y,FT%_y,FTA_y,G_y,MP_y,MP_per_g,ORB_y,PF_y,PTS_y,PTS_per_g,STL_y,TOV_y,TRB_y,TRB_per_g
595,591,1.2,0.395,3.0,0.0,0.0,0.0,1.0,0.1,0.8,1.2,0.391,3.0,0.9,0.696,1.2,64,0.0,NBA,10.6,Rick Calloway,0.4,1.5,3.2,0.3,0.8,1.2,0.391,0.01,13.4,0.7,-6.8,-1.2,9.1,0.4,0.411,-5.6,4.1,-0.8,6.6,1.6,18.4,6.5,0.452,17.9,-0.8,-0.3,-0.025,356.0,8.0,0.421,19.0,286.0,2.4,,625.0,0.529,1182.0,273.0,0.707,386.0,119.0,3332.0,28.0,,,1531.0,12.9,,,528.0,4.4
596,592,4.6,0.291,16.0,,,,3.5,,,4.6,0.291,16.0,2.6,0.707,3.7,165,,BAA,,Ernie Calverley,,3.3,11.9,,,,0.291,,,,,,,-1.0,0.229,,,6.8,,,,,0.338,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,
597,593,5.2,0.453,11.5,0.1,0.245,0.4,4.8,0.1,1.7,5.3,0.447,11.8,5.5,0.863,6.4,755,,TOT,28.6,Mack Calvin,0.8,2.5,16.1,1.1,3.0,2.5,0.451,0.029,23.3,0.1,-1.0,-2.0,6.2,16.0,0.539,1.0,2.9,44.4,17.4,2.2,16.3,4.4,0.552,23.3,2.6,60.4,0.134,357.0,,,,,,,234.0,0.468,500.0,170.0,0.723,235.0,52.0,,,,,638.0,12.3,,,126.0,2.4
598,594,2.8,0.49,5.8,0.0,0.0,0.1,1.1,0.1,1.5,2.8,0.484,5.9,1.3,0.687,1.9,53,13.0,NBA,16.7,Dexter Cambridge,1.7,2.4,7.0,0.5,1.2,3.2,0.484,0.013,10.4,0.4,-3.3,-2.0,10.6,0.0,0.317,-1.3,9.9,0.4,12.1,1.3,15.1,10.2,0.52,19.3,-0.3,0.4,0.022,358.0,27.0,0.293,92.0,46.0,0.9,,304.0,0.522,582.0,167.0,0.711,235.0,51.0,1139.0,22.3,,,802.0,15.7,,,291.0,5.7
599,595,3.9,0.469,8.2,0.0,0.205,0.1,1.9,2.4,7.1,3.9,0.466,8.3,1.8,0.67,2.6,973,786.0,NBA,29.5,Marcus Camby,2.7,2.8,9.5,1.0,1.4,9.8,0.468,0.011,10.1,6.1,2.9,4.6,27.9,54.9,0.316,-1.7,10.5,26.7,17.8,1.8,12.9,19.2,0.503,16.6,35.6,81.6,0.137,359.0,1.0,0.077,13.0,131.0,1.4,336.0,539.0,0.501,1076.0,308.0,0.661,466.0,92.0,2324.0,25.3,,262.0,1387.0,15.1,74.0,187.0,642.0,7.0
600,596,3.9,0.461,8.4,0.0,0.054,0.0,1.1,1.5,4.1,3.9,0.46,8.5,2.6,0.699,3.7,1044,671.0,NBA,24.7,Elden Campbell,1.8,2.9,10.3,0.7,1.3,5.9,0.46,0.004,7.7,4.3,-0.3,1.5,18.6,37.9,0.434,-1.9,8.3,25.0,15.9,1.4,11.5,13.5,0.513,20.6,10.8,62.8,0.117,360.0,3.0,0.3,10.0,113.0,0.9,334.0,754.0,0.562,1342.0,369.0,0.641,576.0,123.0,3194.0,26.0,,352.0,1880.0,15.3,135.0,269.0,836.0,6.8
601,597,4.5,0.463,9.7,0.1,0.254,0.4,1.5,0.2,1.7,4.6,0.456,10.1,2.3,0.79,2.9,690,224.0,NBA,22.0,Tony Campbell,1.3,2.2,11.6,0.8,1.6,3.1,0.46,0.038,11.1,0.7,-1.7,-1.3,9.3,12.4,0.284,-0.4,6.6,8.3,14.5,1.9,12.1,7.9,0.509,25.2,1.2,20.7,0.065,361.0,0.0,0.0,2.0,103.0,1.0,36.0,589.0,0.482,1223.0,351.0,0.798,440.0,104.0,3258.0,31.3,,307.0,1529.0,14.7,116.0,287.0,628.0,6.0
602,598,5.9,0.417,14.1,0.1,0.257,0.6,3.6,0.2,1.2,6.0,0.411,14.7,4.5,0.76,5.9,213,,TOT,28.8,Larry Cannon,1.7,2.6,16.6,0.3,3.0,2.9,0.415,0.036,18.0,0.6,-5.3,-2.3,4.3,5.3,0.399,-3.1,4.2,1.8,14.8,0.9,14.1,4.4,0.482,25.3,-0.3,7.1,0.055,,,,,,,,,,,,,,,,,,,,,,,,
603,599,0.8,0.485,1.6,0.0,,0.0,0.2,0.2,0.6,0.8,0.485,1.6,0.4,0.739,0.6,41,0.0,NBA,5.2,Derrick Caracter,0.5,1.1,2.0,0.1,0.5,1.0,0.485,0.0,5.1,3.5,-4.9,-0.3,12.2,0.3,0.348,-4.5,10.3,0.0,10.0,1.0,20.0,11.3,0.532,20.2,-0.2,0.3,0.057,362.0,5.0,0.313,16.0,51.0,0.6,61.0,314.0,0.563,558.0,177.0,0.628,282.0,79.0,720.0,26.7,72.0,82.0,810.0,10.3,53.0,140.0,440.0,5.6
604,600,3.6,0.463,7.9,0.0,0.176,0.1,1.2,,3.7,3.6,0.461,7.9,2.2,0.632,3.4,306,,ABA,22.6,Frank Card,2.0,2.6,9.5,,1.8,5.6,0.461,0.007,7.2,,,,12.0,6.5,0.43,,8.5,4.7,12.3,,16.1,11.2,0.502,18.0,,11.1,0.077,,,,,,,,,,,,,,,,,,,,,,,,
605,601,0.9,0.432,2.1,0.5,0.372,1.4,1.0,0.2,1.7,1.5,0.408,3.6,1.2,0.861,1.4,456,37.0,NBA,14.2,Brian Cardinal,0.6,2.0,4.6,0.6,0.7,2.3,0.482,0.401,11.4,0.8,0.7,0.7,13.7,7.5,0.383,0.1,5.1,8.0,12.7,2.4,14.8,9.4,0.554,15.9,4.5,15.4,0.114,363.0,130.0,0.365,356.0,277.0,2.1,44.0,495.0,0.461,1074.0,464.0,0.761,610.0,132.0,2768.0,28.8,,290.0,1584.0,12.0,259.0,203.0,749.0,5.7
606,602,2.2,0.333,6.5,,,,1.8,,,2.2,0.333,6.5,1.2,0.706,1.6,31,,NBA,12.3,Howie Carl,,1.3,5.5,,,1.3,0.333,,,,,,,0.2,0.254,,,-0.7,9.4,,,,0.38,,,-0.5,-0.061,,,,,,,,,,,,,,,,,,,,,,,,
607,603,2.0,0.268,7.3,,,,0.3,,,2.0,0.268,7.3,1.1,0.609,1.8,51,,BAA,,Chet Carlisle,,2.7,5.0,,,,0.268,,,,,,,1.3,0.247,,,0.3,,,,,0.31,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,
608,604,0.3,0.667,0.5,0.0,,0.0,0.2,0.0,0.0,0.3,0.667,0.5,0.7,0.667,1.0,6,0.0,NBA,2.7,Geno Carlisle,0.2,0.2,1.3,0.0,0.2,0.2,0.667,0.0,10.3,0.0,-4.2,-5.5,0.0,0.0,2.0,1.3,7.5,0.1,18.1,0.0,15.1,3.6,0.709,19.1,0.0,0.1,0.173,364.0,197.0,0.347,568.0,354.0,3.3,21.0,574.0,0.396,1448.0,415.0,0.766,542.0,108.0,2831.0,32.9,,141.0,1760.0,16.3,90.0,223.0,293.0,2.7
609,605,0.9,0.447,2.0,0.1,0.229,0.3,1.1,0.0,0.5,0.9,0.422,2.2,0.3,0.775,0.4,188,1.0,NBA,7.8,Rick Carlisle,0.2,1.0,2.2,0.2,0.6,0.8,0.435,0.114,17.4,0.4,-5.2,-1.3,7.0,1.5,0.168,-3.9,3.5,-1.0,7.0,1.4,20.9,5.4,0.466,16.2,-1.2,0.5,0.015,365.0,,,,,,8.0,598.0,0.532,1124.0,339.0,0.801,423.0,123.0,1924.0,28.7,,267.0,1543.0,12.5,35.0,97.0,407.0,3.3
610,606,3.7,0.412,9.0,0.0,0.0,0.1,2.8,,2.8,3.7,0.41,9.0,3.8,0.756,5.1,56,,ABA,27.3,Don Carlos,2.2,4.1,11.2,,2.5,5.0,0.41,0.006,14.7,,,,,1.4,0.56,,,1.3,11.9,,18.2,7.7,0.499,18.2,,2.7,0.086,,,,,,,,,,,,,,,,,,,,,,,,
611,607,1.0,0.342,2.8,,,,0.5,0.4,1.5,1.0,0.342,2.8,0.6,0.621,1.0,28,,NBA,10.0,Al Carlson,1.1,1.4,2.6,0.3,,2.6,0.342,,5.8,2.1,-5.3,-0.3,16.3,0.3,0.367,-5.0,10.8,-0.2,9.0,1.1,,13.5,0.392,,-0.2,0.1,0.012,,,,,,,,,,,,,,,,,,,,,,,,
612,608,3.3,0.33,10.1,,,,1.8,,,3.3,0.33,10.1,1.4,0.623,2.2,180,,TOT,,Don Carlson,,2.8,8.0,,,1.7,0.33,,,,,,,6.5,0.221,,,4.8,,,,,0.364,,,11.3,,,,,,,,,,,,,,,,,,,,,,,,,
613,609,1.3,0.375,3.4,,,,0.8,,,1.3,0.375,3.4,1.1,0.525,2.1,19,,NBA,12.8,Bob Carney,,1.9,3.6,,,2.4,0.375,,,,,,,0.3,0.625,,,0.0,8.7,,,,0.423,,,0.3,0.059,,,,,,,,,,,,,,,,,,,,,,,,
614,610,1.6,0.471,3.4,0.7,0.338,2.0,0.4,0.3,1.4,2.3,0.422,5.3,0.8,0.704,1.1,299,48.0,NBA,15.4,Rodney Carney,0.5,1.4,5.9,0.5,0.5,2.0,0.485,0.37,4.6,1.7,-2.7,-1.4,11.0,3.7,0.203,-1.3,4.2,2.5,11.9,1.8,8.3,7.5,0.51,18.7,-0.8,6.2,0.064,366.0,287.0,0.362,792.0,155.0,1.2,131.0,659.0,0.415,1587.0,296.0,0.717,413.0,133.0,3670.0,27.6,,,1901.0,14.3,134.0,,651.0,4.9
615,611,2.6,0.337,7.8,,,,1.4,,,2.6,0.337,7.8,2.4,0.768,3.1,122,,NBA,,Bob Carpenter,,2.3,7.7,,,4.1,0.337,,,,,,,4.1,0.403,,,2.8,,,,,0.418,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,
