,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,Name,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
26,.005,7.1,,,,,0.3,.191,Henry Akin,,,-1.6,7.4,,42.9,7.0,.383,13.8,,-1.2,-0.081
27,.062,9.3,1.1,-2.2,-1.1,13.8,4.5,.191,Mark Alarie,-1.2,8.4,3.9,13.0,1.1,11.5,11.0,.514,19.6,-0.3,8.4,.073
28,,,,,,,0.8,.261,Gary Alcorn,,,-2.1,6.5,,,,.333,,,-1.3,-0.072
29,.003,4.4,0.8,-5.9,-2.0,20.1,0.4,.223,Chuck Aleksinas,-3.9,8.1,0.1,9.1,0.6,16.3,13.6,.509,15.6,-1.1,0.4,.019
30,.444,28.6,0.6,-2.2,-1.4,9.8,3.3,.233,Cory Alexander,-0.7,1.8,-0.3,12.4,2.9,21.9,5.7,.504,20.1,-0.2,3.0,.030
31,.078,9.7,0.3,-4.0,-2.1,8.2,2.1,.269,Courtney Alexander,-1.9,3.5,2.0,11.5,1.4,10.5,5.8,.487,21.7,-2.1,4.1,.048
32,.000,5.4,0.0,-5.8,-0.7,16.8,0.1,.643,Gary Alexander,-5.1,14.7,-0.1,8.6,2.9,30.8,15.8,.529,21.0,-0.1,0.0,-0.032
33,.187,9.5,3.3,-3.3,0.2,12.2,0.8,.343,Joe Alexander,-3.5,7.0,-0.3,9.9,1.1,15.3,9.5,.488,20.5,-0.2,0.5,.030
34,.030,6.7,1.9,-2.6,-0.8,17.9,4.9,.239,Victor Alexander,-1.9,8.6,3.9,13.7,1.1,13.9,13.3,.541,19.5,-0.9,8.8,.073
35,.170,15.4,0.4,-2.4,-1.7,7.6,1.4,.230,Steve Alford,-0.7,1.7,1.8,14.4,2.5,11.3,4.7,.533,19.6,-0.2,3.2,.093
36,.007,3.8,,,,,0.3,.354,Bill Allen,,,0.3,11.9,,10.5,13.7,.464,15.2,,0.6,.033
37,,5.4,,,,,0.3,.837,Bob Allen,,,-0.1,6.8,,,,.408,,,0.1,.028
38,.387,24.0,0.5,-4.2,-1.3,8.3,1.0,.331,Jerome Allen,-2.9,2.7,-0.9,8.5,2.1,21.6,5.6,.450,16.5,-0.7,0.2,.006
39,,21.5,0.5,0.5,-0.6,7.4,19.4,.257,Lucius Allen,1.1,3.2,22.6,15.5,2.2,17.9,5.4,.504,20.5,7.6,42.0,.100
40,.007,5.3,2.4,-4.0,0.1,14.3,8.2,.137,Malik Allen,-4.2,7.4,-1.6,9.9,0.9,11.3,10.8,.465,17.9,-3.8,6.6,.044
41,.031,4.2,1.5,-6.2,-1.5,13.3,0.6,.174,Randy Allen,-4.7,7.4,-0.4,8.3,1.1,9.7,10.4,.454,16.8,-0.8,0.2,.011
42,.392,16.5,0.4,3.0,-1.3,10.3,33.4,.260,Ray Allen,4.2,3.2,111.7,18.6,1.7,11.4,6.8,.580,23.8,58.1,145.1,.150
43,.000,18.1,,,,32.9,0.0,.462,Willie Allen,,12.7,-0.1,5.7,,27.7,22.6,.416,27.9,,0.0,-0.021
44,,7.7,,,,,0.3,.782,Odis Allison,,,-0.9,4.7,,,12.1,.320,,,-0.6,-0.181
45,.000,0.0,0.0,-19.7,-7.1,11.8,0.0,.500,Lance Allred,-12.6,0.0,0.0,-1.0,0.0,0.0,5.7,.307,22.1,0.0,0.0,-0.125
46,.015,12.5,1.7,-5.6,0.4,19.7,0.2,.328,Darrell Allums,-5.9,7.6,-0.5,5.3,0.9,23.1,13.4,.385,15.1,-0.2,-0.3,-0.054
47,.212,4.9,0.9,-6.4,-1.6,11.8,0.3,.310,Morris Almond,-4.8,3.3,-0.3,7.0,1.7,12.9,7.5,.463,18.3,-0.4,0.0,.005
48,.011,5.9,2.4,-2.1,0.4,13.2,1.8,.360,Derrick Alston,-2.6,9.8,0.8,11.7,1.9,12.9,11.5,.499,14.6,-0.1,2.6,.047
49,.440,27.4,0.4,0.2,-0.2,9.7,22.6,.194,Rafer Alston,0.4,1.5,10.3,13.2,2.2,14.7,5.6,.490,19.4,10.9,32.9,.081
50,.000,0.0,12.7,-7.1,8.2,21.0,0.0,.000,Peter Aluma,-15.2,21.2,0.0,3.1,10.0,50.0,21.1,.500,34.1,0.0,0.0,-0.206
51,.008,7.6,1.5,-6.1,-1.2,12.9,4.2,.462,John Amaechi,-4.9,5.5,-3.8,8.9,1.0,16.3,9.2,.464,21.6,-5.0,0.5,.005
52,.007,4.8,0.8,-4.4,-0.6,21.5,1.4,.606,Ashraf Amaya,-3.8,12.2,0.5,11.5,1.2,15.3,16.7,.512,15.9,-0.7,1.9,.071
53,,,,,,,0.1,.294,Bob Anderegg,,,-0.1,9.3,,,,.412,,,0.0,.002
54,.219,7.3,1.3,-4.2,-1.3,20.7,1.2,.193,David Andersen,-2.9,6.6,0.3,11.7,0.8,10.6,13.4,.501,19.8,-0.7,1.5,.059
55,.032,9.7,,,,,2.4,.315,Andrew Anderson,,,1.1,10.9,,12.4,4.9,.467,19.4,,3.5,.035
56,.000,0.0,0.0,-11.4,-3.1,0.0,0.0,.000,Antonio Anderson,-8.2,7.9,0.0,-1.7,0.0,25.0,3.8,.333,12.0,0.0,0.0,-0.104
57,.000,15.3,,,,,0.5,.888,Cliff Anderson,,,-0.2,10.6,,31.1,11.2,.442,16.3,,0.3,.023
58,.000,5.7,,,,,4.4,.330,Dan Anderson,,,6.5,17.5,,11.5,14.5,.524,16.7,,10.9,.130
59,,21.1,0.1,-4.2,-2.1,6.4,0.6,.318,Dan Anderson,-2.1,2.3,0.9,12.3,1.5,,4.4,.532,,-0.6,1.6,.071
60,.319,19.6,0.4,0.9,-0.6,10.0,15.9,.371,Derek Anderson,1.5,2.9,28.0,15.3,2.1,13.2,6.5,.534,20.4,13.3,43.9,.117
61,.000,11.5,0.0,-9.0,-5.1,6.1,0.0,.714,Dwight Anderson,-3.9,0.0,0.0,10.6,1.3,21.4,3.1,.571,26.2,-0.1,0.0,.001
62,.057,9.2,1.7,-3.4,0.2,25.1,0.2,.771,Eric Anderson,-3.6,16.6,0.0,13.1,1.8,13.0,21.0,.448,28.3,0.0,0.2,.107
63,.006,4.0,2.7,-2.7,0.4,22.9,16.9,.408,Greg Anderson,-3.2,10.9,1.8,13.0,1.7,16.1,16.7,.513,16.8,-2.6,18.7,.064
64,.014,7.6,1.0,-1.5,0.4,12.8,2.5,.378,J.J. Anderson,-1.9,10.1,0.1,12.1,2.5,14.6,11.4,.489,18.0,0.3,2.7,.065
65,,7.7,0.9,-4.5,-2.5,4.1,0.2,.346,Jerome Anderson,-2.0,4.3,0.2,11.4,1.4,,4.2,.530,,-0.2,0.4,.068
66,.166,33.2,0.3,0.8,-0.7,8.7,26.1,.298,Kenny Anderson,1.4,2.9,36.4,16.4,2.5,14.1,5.7,.501,21.3,18.0,62.5,.116
67,,8.5,1.3,-8.3,-1.5,14.1,0.2,.364,Kim Anderson,-6.8,8.3,-0.6,3.0,0.8,19.8,11.2,.353,19.6,-0.4,-0.4,-0.078
68,.040,26.9,0.2,-3.4,-0.4,7.1,0.6,.469,Michael Anderson,-3.0,6.3,-0.5,10.5,2.8,28.5,6.7,.483,15.7,-0.3,0.2,.010
